article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
Muhammad Yusuf Asy'ari;1945-10-21;2019-11-14;Jakarta, Indonesia;;;;;;;;Politikus;;Magelang, Jawa Tengah, Indonesia;Mohammad Yusuf Asy'ari (21 Oktober 1945 – 14 November 2019) adalah politisi berkebangsaan Indonesia. Dia pernah menjadi Menteri Perumahan Rakyat pada Kabinet Indonesia Bersatu. Ia adalah lulusan S1 Akuntansi Universitas Gadjah Mada dan S2 Ilmu Administrasi di Universitas Muhammadiyah Jakarta. Sebelumnya ia pernah menjabat sebagai Direktur Keuangan RCTI dan anggota dari Partai Keadilan Sejahtera. Sewaktu ia muda dulu, ia aktif dalam dunia pergerakan kepemudaan sebagai aktivis Pelajar Islam Indonesia (PII).;https://id.wikipedia.org/wiki/Muhammad_Yusuf_Asy%27ari;;KIB Yusuf Ashari.jpg
Haris Sudarno;1941-12-17;;;;;;;;;;;Akademi Militer;Pati, Zaman Kedudukan Jepang;Mayor Jenderal TNI (Purn.) Haris Sudarno (lahir 17 Desember 1941) adalah perwira tinggi TNI. dengan jabatan terahkir sebagai Panglima Kodam V/Brawijaya.Haris Sudarno, lulusan AMN 1965 ini berpengalaman dalam bidang Infanteri.;https://id.wikipedia.org/wiki/Haris_Sudarno;;
Sari Yuliati;1976-06-02;;;;;;;;Arie Wiryawan;;;"Universitas Trisakti
Universitas Indonesia";Jakarta, Indonesia;Ir. Hj. Sari Yuliati, M.T. (lahir 2 Juni 1976) adalah politikus Indonesia yang menjabat sebagai anggota DPR-RI periode 2019–2024. Ia mewakili daerah pemilihan Nusa Tenggara Barat II, yang meliputi Kabupaten Lombok Barat, Kabupaten Lombok Tengah, Kabupaten Lombok Timur, Kabupaten Lombok Utara, dan Kota Mataram. Sari merupakan kader Partai Golongan Karya, ia duduk di Komisi III.;https://id.wikipedia.org/wiki/Sari_Yuliati;;File:Anggota DPR Sari Yuliati.jpg
Kharis Suhud;1925-04-10;2012-08-20;Indonesia Rumah Sakit Pusat Pertamina, Jakarta, Indonesia;;Komplikasi;;Mohammad Kharis Suhud;;Sri Sukardi;"Sri Julianti
Harry Santoso
Eddy Sarosa
Djoko Sanyoto";;;Belanda Madiun, Jawa Timur, Hindia Belanda;Letnan Jenderal TNI (Purn.) Mohammad Kharis Suhud (10 April 1925 – 20 Agustus 2012) adalah tokoh militer dan politikus Indonesia yang pernah menjabat sebagai Ketua MPR/DPR pada masa Orde Baru, dari tahun 1987 hingga 1992. Sebelumnya, pada 1982 hingga 1987 ia memimpin Fraksi ABRI. Pada tahun 1975—1978, ia menjabat sebagai Duta Besar Republik Indonesia untuk Thailand.;https://id.wikipedia.org/wiki/Kharis_Suhud;;Kharis suhud.jpg
Maraden Panggabean;1922-06-29;2000-05-28;Jakarta, Indonesia;;;;Maraden Saur Halomoan Panggabean;"Marhusa Panggabean
Katharina br. Panjaitan";Meida Saimima Matiur br. Tambunan;;;;Pansur Napitu, Tarutung, Keresidenan Tapanuli;Jenderal TNI (Purn.) Maraden Saur Halomoan Panggabean (29 Juni 1922 – 28 Mei 2000) adalah salah seorang tokoh militer Indonesia yang pernah menjadi Menteri Pertahanan dan Keamanan dalam Kabinet Pembangunan II serta Menteri Koordinator Politik dan Keamanan dalam Kabinet Pembangunan III. Selanjutnya pada tahun 1983—1988, Maraden menjabat Ketua Dewan Pertimbangan Agung (DPA).;https://id.wikipedia.org/wiki/Maraden_Panggabean;;Maraden Panggabean, Irian Barat dari Masa ke Masa, Preface.jpg
Linda Amalia Sari;1951-11-15;;;Islam;;;;;Agum Gumelar;"Zeke Khaseli
Army Dianti";Akademisi dan Pengusaha;Universitas Terbuka;Indonesia Bandung, Jawa Barat, Indonesia;Linda Amalia Sari, S.IP. (lahir 15 November 1951) adalah seorang tokoh wanita Indonesia. Dia menjabat sebagai Menteri Negara Pemberdayaan Perempuan dan Perlindungan Anak Republik Indonesia pada Kabinet Indonesia Bersatu II dan mantan ketua umum Kongres Wanita Indonesia (Kowani) periode 2004-2009.;https://id.wikipedia.org/wiki/Linda_Amalia_Sari;;Linda Amalia Sari Gumelar.jpg
Achmad Sjaichu;1921-06-29;1995-01-04;;;;;;;;;;;;K.H. Achmad Sjaichu (29 Juni 1921 – 4 Januari 1995) adalah seorang tokoh agama dan politikus asal Indonesia. Ia adalah pendiri dan pengasuh Pesantren Al-Hamidiyah. Ia sempat menjabat sebagai ketua Dewan Perwakilan Rakyat Gotong Royong (DPRGR). Ia juga membangun institusi pendidikan dan lembaga Ittihadul Muballighin, tempat berhimpun para muballigh dan mengirimnya ke berbagai daerah.;https://id.wikipedia.org/wiki/Achmad_Sjaichu;;Achmad Sjaichu, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p217.jpg
Suhardiman;1924-12-16;2015-12-13;Jakarta;;;;;;Sapartinah;;;;Surakarta, Jawa Tengah;Mayor Jenderal TNI (Purn.) Prof. Dr. Suhardiman, S.E. (16 Desember 1924 – 13 Desember 2015) adalah tokoh politik yang telah melewati 5 masa kepemimpinan Indonesia: zaman Hindia Belanda, zaman Jepang, presiden Soekarno, presiden Soeharto, dan masa reformasi. Suhardiman kerap disebut sebagai dukun politik karena intuisinya sangat kuat dalam memprediksi peristiwa politik terutama dalam konteks suksesi kepemimpinan dan merupakan pendiri partai Partai Golkar. Dia turut mewarnai perjalanan politik Indonesia bersama dengan SOKSI (Sentral Organisasi Karyawan Swadiri Indonesia), yang awalnya dia dirikan untuk membendung penyebaran paham komunisme oleh PKI. Dalam perjalanannya, SOKSI menjadi salah satu ormas yang melahirkan Partai Golkar dan menjadi tempat pengkaderan para pemimpin bangsa. Komentar dan pendapat Prof. Dr. Suhardiman kerap diminta sejumlah media terutama mengenai suksesi kepemimpinan di negeri ini karena intuisi politiknya sangat kuat dalam memprediksi calon-calon pemimpin masa depan.;https://id.wikipedia.org/wiki/Suhardiman;;Suhardiman.jpg
Muin Pusadan;1945-08-12;2007-05-20;Guangzhou, Republik Rakyat Tiongkok;Islam;;;Abdul Muin Pusadan;;Ramlah Rauf;;;Universitas Tadulako;Bungku Tengah, Morowali;Drs. H. Abdul Muin Pusadan (12 Agustus 1945 – 20 Mei 2007), adalah seorang politikus asal Indonesia yang pernah menjabat sebagai Wakil Ketua DPRD Sulawesi Tengah dan juga Bupati Poso ke-11 sejak tahun 1999 hingga 2004. Ia adalah Bupati Poso selama Kerusuhan Poso yang terjadi pada tahun 1999 hingga 2002.;https://id.wikipedia.org/wiki/Muin_Pusadan;;Abdul Muin Pusadan.png
Iskandar Sitompul;1957-06-22;;;Kristen Protestan;;;;"Humala Sitompul
Surtani br. Panggabean";Irryanthy;;;Akademi Angkatan Laut;Kuta Raja, Aceh;Laksamana Muda TNI (Purn.) Iskandar Sitompul, S.E. (lahir 22 Juni 1957) adalah seorang Purnawirawan TNI-AL yang terakhir menjabat sebagai Staf Khusus Kasal.Iskandar, merupakan alumnus Akademi Angkatan Laut (AAL) angkatan ke-XXV/tahun 1980. Jabatan terakhir jenderal bintang dua ini adalah Deputi Bidang Koordinasi Pertahanan Negara Kemenko Polhukam RI.;https://id.wikipedia.org/wiki/Iskandar_Sitompul;;
Sutami;1928-10-19;1980-11-13;Jakarta, Indonesia;;;;;;;;;;Surakarta, Jawa Tengah, Hindia Belanda;"Prof. Dr. (H.C.) Ir. Sutami atau Soetami (19 Oktober 1928 – 13 November 1980) adalah seorang insinyur sipil yang pernah menjabat Menteri Pekerjaan Umum Indonesia. Ia sudah menjadi Menteri sejak tahun 1964 pada Kabinet Dwikora I masa pemerintahan Presiden Soekarno sebagai Menteri Negara diperbantukan pada Menteri Koordinator Pekerjaan Umum dan Tenaga untuk urusan penilaian konstruksi hingga tahun 1978 pada Kabinet Pembangunan II masa pemerintahan Presiden Soeharto selama 13,5 tahun. Ir. Sutami adalah Menteri Pekerjaan Umum ""terlama"" dengan masa jabatan selama 12 tahun pada 6 kabinet dihitung sejak menjabat Menteri Koordinator Kompartimen Pekerjaan Umum dan Tenaga pada Kabinet Dwikora II (22 Februari 1966).";https://id.wikipedia.org/wiki/Sutami;;Sutami 2003 Indonesia stamp.jpg
Mohammad Natsir;1908-07-17;1993-02-06;Jakarta, Indonesia;;;;;;Nurnahar;;Politikus;;Alahan Panjang, Lembah Gumanti, Solok, Hindia Belanda;Dr. (H.C.) H. Mohammad Natsir (17 Juli 1908 – 6 Februari 1993) adalah seorang ulama, politikus, dan pejuang kemerdekaan Indonesia. Ia merupakan pendiri sekaligus pemimpin partai politik Masyumi, dan tokoh Islam terkemuka Indonesia. Di dalam negeri, ia pernah menjabat menteri dan Perdana Menteri Indonesia, sedangkan di kancah internasional, ia pernah menjabat sebagai presiden Liga Muslim Dunia (World Muslim League) dan ketua Dewan Masjid se-Dunia.;https://id.wikipedia.org/wiki/Mohammad_Natsir;;Mohammad Natsir 1950s.jpg
Mukti Ali;1923-08-23;2004-05-05;Yogyakarta, Indonesia;Islam;;;;;;;;;Cepu, Blora, Keresidenan Rembang, Hindia Belanda;"Prof. Dr. K.H. Abdul Mukti Ali (23 Agustus 1923 – 5 Mei 2004) adalah mantan Menteri Agama Republik Indonesia pada Kabinet Pembangunan II. Ia juga terkenal sebagai Ulama ahli perbandingan agama yang meletakkan kerangka kerukunan antarumat beragama di Indonesia sesuai dengan prinsip Bhineka Tunggal Ika atau istilah yang sering dipakainya ""Setuju dalam Perbedaan."" Ia juga terkenal sebagai cendekiawan muslim yang menonjol sebagai pembaharu pemikiran Islam melalui Kajian Keislaman (Islamic Studies).";https://id.wikipedia.org/wiki/Mukti_Ali;;Mukti Ali.jpg
Sutanto Wiryoprasonto;1924-07-24;2000-04-03;;;;;;;;;;;Surakarta, Jawa Tengah, Hindia Belanda;Letnan Jenderal TNI (Purn.) Sutanto Wiryoprasonto (24 Juli 1924 – 3 April 2000) merupakan seorang perwira tinggi angkatan darat dan birokrat dari Indonesia. Ia menjabat sebagai Komandan Sekolah Staf dan Komando ABRI dari 1974 hingga 1977 dan Sekretaris Jenderal Departemen Pendidikan dan Kebudayaan dari tahun 1980 hingga 1987.;https://id.wikipedia.org/wiki/Sutanto_Wiryoprasonto;;10 Mayjen TNI Sutanto Wirjoprasonto.jpg
Danang Hadiwibowo;1966-12-09;;;;;;;;Nori Chandrawati;;;Akademi Angkatan Udara;Probolinggo, Jawa Timur;Marsekal Muda TNI Danang Hadiwibowo, S.E., M.M., CHRMP (lahir 9 Desember 1966) adalah seorang perwira tinggi TNI-AU yang sejak 1 April 2024 mengemban amanat sebagai Pa Sahli Tk. III Bidang Intekmil dan Sumber Panglima TNI.;https://id.wikipedia.org/wiki/Danang_Hadiwibowo;"Try Sutrisno
Firman Santyabudi
Kunto Arief Wibowo";File:Kepala Pusat Keuangan TNI Danang Hadiwibowo.jpg
Hari Suharto;1924-02-26;;;Islam;;;;;;;;;Belanda Yogyakarta, Hindia Belanda;Mayor Jenderal TNI (Purn.) Hari Suharto, S.H. (lahir 26 Februari 1924) adalah Jaksa Agung Republik Indonesia untuk periode 1984 sampai 1988.;https://id.wikipedia.org/wiki/Hari_Suharto;;Indonesia_Attorney_General_Hari_suharto.gif
Indroyono Soesilo;1955-03-27;;;Islam;;;;Soesilo Soedarman;Dr. Ir. Nining Sri Astuti, MA.;;;;Bandung, Jawa Barat, Indonesia;Prof. Dr. Ir. Dwisuryo Indroyono Soesilo, M.Sc. (lahir 27 Maret 1955) adalah Menteri Koordinator Bidang Kemaritiman Republik Indonesia dalam Kabinet Kerja sejak 27 Oktober 2014 hingga 12 Agustus 2015. Sebelumnya ia menjabat sebagai Kepala Badan Riset Kelautan dan Perikanan Departemen Kelautan dan Perikanan  dan Direktur Sumber Daya Perikanan dan Aquakultur FAO, PBB. Pada 12 Agustus 2015, ia digantikan oleh Rizal Ramli sebagai bagian dari perombakan Kabinet Kerja 2014-2019.;https://id.wikipedia.org/wiki/Indroyono_Soesilo;;Kabinet Kerja Indroyono Soesilo.jpg
Nasrudin Sumintapura;1938-08-01;2011-05-05;Jakarta, DKI Jakarta, Indonesia;Islam;;;;;;;;Universitas Indonesia;Jakarta, DKI Jakarta, Hindia Belanda;Drs. Nasrudin Sumintapura, M.A. (1 Agustus 1938 – 5 Mei 2011) adalah Menteri Muda Keuangan yang menjabat pada 23 Maret 1988 hingga 11 Maret 1993.;https://id.wikipedia.org/wiki/Nasrudin_Sumintapura;;Nasrudin Sumintapura - Fifth Development Cabinet.jpg
Gita Wirjawan;1965-09-21;;;Islam;;;;;Yasmin Stamboel;"Gia Putri Wirjawan
Gian Putra Wirjawan
Gibran Putra Wirjawan";;Harvard University;Indonesia Jakarta, Indonesia;Gita Irawan Wirjawan, B.B.A., M.B.A., M.P.A.;https://id.wikipedia.org/wiki/Gita_Wirjawan;;Gita Wirjawan.jpg
Ma'huno Bulerek Karathayano;1949-04-14;2021-09-24;Dili, Timor Leste;;;;José António Gomes da Costa;;;;;;Dili, Timor Portugis;Ma'huno Bulerek Karathayano alias José António Gomes da Costa alias Bukar (14 April 1949 – 24 September 2021) adalah komandan FALINTIL, sayap militer gerakan perlawanan di Timor Timur melawan pendudukan Indonesia antara tahun 1975 dan 1999. Terakhir, Ma'huno menjadi anggota Kongres Nasional Rekonstruksi Timor (CNRT).;https://id.wikipedia.org/wiki/Ma%27huno_Bulerek_Karathayano;;2018 Ma'huno Bulerek Karathayano.jpg
Sudomo;1926-09-20;2012-04-18;Jakarta, Indonesia;Islam;Stroke;;;;"Fransisca Play
Fransisca Diah Widhowaty
Aty Kusumawaty";;;;Malang, Jawa Timur, Hindia Belanda;Laksamana TNI (Purn.) Muhammad Sudomo (20 September 1926 – 18 April 2012) adalah seorang petinggi militer yang terkenal di masanya karena jabatannya sebagai Wakil Panglima ABRI dan Pangkopkamtib.;https://id.wikipedia.org/wiki/Sudomo;;Sudomo, 25 Tahun Pembangunan Pemerintah Orde Baru.jpg
Amien Rais;1944-04-26;;;;;;;Sudalmijah Suhud Rais;Kusnasriyati Sri Rahayu;"Ahmad Hanafi Rais
Hanum Salsabiela Rais
Ahmad Mumtaz Rais
Tasniem Fauzia Rais
Ahmad Baihaqi Rais";;"Universitas Gadjah Mada
UIN Sunan Kalijaga
Universitas Notre Dame
Universitas Chicago";Surakarta, Jawa Tengah, Masa Pendudukan Jepang;Prof. Dr. H. Muhammad Amien Rais, M.A., Ph.D. (lahir 26 April 1944) adalah politikus Indonesia yang saat ini menjabat sebagai Ketua Majelis Syuro Partai Ummat sejak awal dideklarasikan pada tanggal 29 April 2021. Selain itu, ia juga pernah menjabat sebagai Ketua Majelis Permusyawaratan Rakyat Republik Indonesia sejak 3 Oktober 1999 hingga 30 September 2004. Ia dikenal sebagai tokoh Muhammadiyah. Ia juga dikenal sebagai pendiri Partai Amanat Nasional dan pendiri Partai Ummat.;https://id.wikipedia.org/wiki/Amien_Rais;;Amien Rais 2.jpg
Hartanto Edhie Wibowo;1969-05-31;;;Islam;;;;"Sarwo Edhie Wibowo
Sunarti Sri Hadiyah";Setya Kumala Sari;;;Universitas Negeri Oregon;Jakarta, Indonesia;Hartanto Edhie Wibowo adalah seorang politikus Indonesia. Ia menjabat sebagai anggota DPR-RI dari 2009 hingga 2019 mewakili daerah pemilihan Banten III. Ia merupakan adik dari Ibu Negara Kristiani Herrawati dan mantan Kepala Staf Angkatan Darat Pramono Edhie Wibowo serta adik ipar dari Presiden RI ke-6 Susilo Bambang Yudhoyono.;https://id.wikipedia.org/wiki/Hartanto_Edhie_Wibowo;;Hartanto Edhie Wibowo.jpg
Mahar Mardjono;1923-01-08;2002-09-19;Jakarta, Indonesia;;;;;;;;Dokter dan Akademisi;"Universitas Indonesia
Armed Forces Institute of Pathology
University of California";Semarang, Hindia Belanda;Prof. Dr. Mahar Mardjono (8 Januari 1923 – 19 September 2002) adalah mantan Rektor Universitas Indonesia (1974-1982), guru besar pertama Neurologi pada Fakultas Kedokteran Universitas Indonesia, mantan Ketua tim dokter Kepresidenan Republik Indonesia pada masa Presiden Soekarno dan Soeharto (1966-1976), dan Ketua Umum Ikatan Dokter Indonesia (1982-1985).;https://id.wikipedia.org/wiki/Mahar_Mardjono;;
Sophan Sophiaan;1944-04-26;2008-05-17;Widodaren, Perbatasan Ngawi/Jawa Tengah, Indonesia;;Kecelakaan lalu lintas;;Sophan Sophiaan;Manai Sophiaan;Widyawati;"Romy Sophiaan
Roma Sophiaan";;"Vienna University of Economics and Business
Universitas Kristen Indonesia";Makassar, Celebes, Masa Pendudukan Jepang;"Sophan Sophiaan (Lontara Bugis: ᨔᨚᨄ ᨔᨚᨄᨗᨐ, transliterasi: Sopan Sopiyan; Lontara Makassar: ᨔᨚᨄ ᨔᨚᨄᨗᨐ, transliterasi: Sopan Sopiyyang) (26 April 1944 – 17 Mei 2008)  adalah seorang aktor, sutradara, produser dan politikus Indonesia keturunan Makassar, Sulawesi Selatan. Ia merupakan putra dari politikus dan diplomat Indonesia, Manai Sophiaan.";https://id.wikipedia.org/wiki/Sophan_Sophiaan;;Sophan Sophian2.jpg
R. Soebijakto;1917-07-14;1999-08-12;Jakarta;;;;;;Raharti Rachim Soebijakto;"Jay Subiyakto 
Chitra Subiyakto";Tentara;;Banyumas, Hindia Belanda;Laksamana TNI (Purn) R. Subyakto (14 Juli 1917 – 12 Agustus 1999) adalah KASAL periode 1948 - 1959. Pada masanya untuk pertama kalinya pemimpin tertinggi TNI Angkatan Laut disebut sebagai Kepala Staf Angkatan karena dua orang pendahulunya masing-masing Laksamana Muda Mas Pardi dan Laksamana Muda Mohammad Nazir disebut sebagai Kepala Staf Umum TKR Laut dan Panglima Angkatan Laut.;https://id.wikipedia.org/wiki/R._Soebijakto;;R Subiakto, Jalesveva Jayamahe, p212.jpg
Burhanuddin Abdullah;1947-07-10;;;;;;;"Haji Abdullah
Siti Kholilah";Ike Juliawati;;;"Universitas Padjajaran
Universitas Negeri Michigan";Garut, Jawa Barat, Indonesia;Dr. (HC) Ir. Burhanuddin Abdullah , M.A. (lahir 10 Juli 1947) adalah seorang ekonom Indonesia yang menjabat sebagai Gubernur Bank Indonesia dari 2003 hingga 2008. Ia juga adalah Gubernur untuk International Monetary Fund (IMF), Washington DC, di Indonesia. Sebelumnya, tahun 2001, ia pernah menjabat sebagai Menteri Koodinator Ekonomi, Keuangan, dan Industri di bawah Pemerintahan Presiden Abdurrahman Wahid. Ia juga adalah Ketua Umum Ikatan Sarjana Ekonomi Indonesia (ISEI) periode 2003-2006, dan terpilih kembali untuk periode 2006-2008. Selama kariernya di Bank Indonesia ia pernah menduduki beberapa jabatan di dalam dan luar negeri.;https://id.wikipedia.org/wiki/Burhanuddin_Abdullah;;Burhanuddin Abdullah, Gubernur Bank Indonesia.png
Suwiryo;1903-02-17;1967-08-27;Bandung, Jawa Barat;;;Raden;Suwiryo;;;;;;Wonogiri, Jawa Tengah;"Suwiryo (EVO: Soewirjo; 17 Februari 1903 – 27 Agustus 1967) adalah seorang politikus Indonesia. Ia menjabat sebagai Walikota pertama Jakarta setelah proklamasi kemerdekaan Indonesia dari tahun 1945 hingga 1947 dan sekali lagi dari tahun 1950 hingga 1951. Selain itu, ia menjabat sebagai Wakil Perdana Menteri Indonesia di bawah Perdana Menteri Soekiman Wirjosandjojo dari tahun 1951 hingga 1952. Sebagai anggota Partai Nasional Indonesia, ia juga merupakan ketua keenam partai tersebut, menjabat dari tahun 1956 hingga digulingkan oleh Ali Sastroamidjojo  pada tahun 1960.";https://id.wikipedia.org/wiki/Suwiryo;;Suwirjo, Kami Perkenalkan (1954), p44.jpg
Dading Kalbuadi;1931-04-14;1999-10-10;;;;;;;;;;P3AD (Pusat Pendidikan Perwira Angkatan Darat);Adipala, Cilacap, Jawa Tengah, Hindia Belanda;Letnan Jenderal TNI (Purn.) Dading Kalbuadi (14 April 1931 – 10 Oktober 1999) adalah tokoh militer Indonesia. Jabatan terakhirnya yaitu Irjen Dephankam.;https://id.wikipedia.org/wiki/Dading_Kalbuadi;;Letjen TNI (Purn.) Dading Kalbuadi (cropped).jpg
Kasman Singodimedjo;1904-02-25;1982-10-25;Indonesia Jakarta, Indonesia;;;;;;;;;"School tot Opleiding van Inlandsche Artsen
MULO
GMS
AMS
HIS
ELS";Belanda Purworejo, Jawa Tengah, Hindia Belanda;Mr. R. H. Kasman Singodimedjo (25 Februari 1904 – 25 Oktober 1982) adalah Jaksa Agung Indonesia periode 1945 sampai 1946 dan juga mantan Menteri Muda Kehakiman pada Kabinet Amir Sjarifuddin II. Selain itu ia juga adalah Ketua KNIP (Komite Nasional Indonesia Pusat) yang menjadi cikal bakal dari DPR. Selain itu ia juga pernah menjadi Rektor pertama Universitas Islam Indonesia dan Anggota Konstituante Republik Indonesia.;https://id.wikipedia.org/wiki/Kasman_Singodimedjo;;Kasman Singodimedjo.jpg
Djoehana Wiradikarta;1896-09-18;1986-01-01;Indonesia;;;;;;;;;"School tot Opleiding van Inlandsche Artsen
Universitas Amsterdam";Bandung, Hindia Belanda;Prof. dr. Raden Moehamad Djoehana Wiradikarta (Bandung, 18 September 1896–1986) adalah seorang akademisi Indonesia dan guru besar mikrobiologi dan serologi Institut Teknologi Bandung, guru besar Fakultas Kedokteran Universitas Padjadjaran, dan tokoh yang banyak berkiprah dalam dunia pendidikan tinggi seperti turut membuka Universitas Nasional, salah satu pendiri Universitas Padjadjaran khususnya Fakultas Kedokteran Unpad, dan turut mempersiapkan pengalihan Kampus Ganesha menjadi Institut Teknologi Bandung. Ia adalah orang Indonesia pertama yang menjabat Dekan FIPIA Universitas Indonesia Bandung pada tahun 1957.:45;https://id.wikipedia.org/wiki/Djoehana_Wiradikarta;;Djoehana Wiradikarta.jpg
Francisco Guterres;1954-09-07;;;;;;;;;;;;Portugal Ossú, Viqueque, Timor Portugis;Francisco Guterres, dikenal sebagai Lú-Olo (lahir 7 September 1954), adalah seorang politisi Timor Leste yang menjabat sebagai presiden Timor Leste ke-6 dari tahun 2017 hingga 2022. Ia juga merupakan presiden partai politik Fretilin, dan ia adalah presiden pertama Parlamento Nacional dari tahun 2002 hingga 2007.;https://id.wikipedia.org/wiki/Francisco_Guterres;;President of Timor Leste Francisco Guterres.jpg
Jenny Shipley;1952-02-04;;;;;;Jennifer Mary Robson;;Burton Shipley;;;;Gore, Selandia Baru;"Dame Jennifer Mary Shipley  (née Robson; lahir 4 Februari 1952) adalah seorang mantan politikus Selandia Baru yang menjabat sebagai Perdana Menteri Selandia Baru ke-36 dari 1997 sampai 1999. Ia adalah perdana menteri Selandia Baru perempuan pertama, dan satu-satunya wanita yang memimpin Partai Nasional.";https://id.wikipedia.org/wiki/Jenny_Shipley;;Jenny Shipley 2013 (crop).jpg
Suwardjono Surjaningrat;1923-05-03;2012-08-21;Jakarta, Indonesia;;;;;;;;;;Purwodadi, Jawa Tengah, Hindia Belanda;Mayor Jenderal TNI (Purn.) dr. Suwardjono Surjaningrat (3 Mei 1923 – 21 Agustus 2012) adalah Menteri Kesehatan Indonesia pada tahun 1978 hingga tahun 1988 pada Kabinet Pembangunan III dan Kabinet Pembangunan IV. Dia juga pernah menjabat Kepala Badan Koordinasi Keluarga Berencana Nasional (BKKBN).;https://id.wikipedia.org/wiki/Suwardjono_Surjaningrat;;Suwardjono Surjaningrat - Fourth Development Cabinet.jpg
Ginandjar Kartasasmita;1941-04-09;;;Islam;;;;Husein KartasasmitaRatjih Natawidjaja;Yultin Harlotina;Agus Gumiwang Kartasasmita;;"Institut Teknologi Bandung
Tokyo University of Agriculture and Technology
Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara
Sekolah Dasar Perwira
Sekolah Staf dan Komando Angkatan Udara";Bandoeng, Hindia Belanda;Marsekal Madya TNI (Purn.) Prof. Dr. Ir. H. Ginandjar Kartasasmita, M.Eng. (lahir 9 April 1941) adalah seorang politikus Indonesia yang pernah menjabat sebagai anggota Dewan Pertimbangan Presiden. Sebelumnya ia menjabat sebagai Ketua Dewan Perwakilan Daerah dan beberapa kali menjadi menteri.;https://id.wikipedia.org/wiki/Ginandjar_Kartasasmita;;Sixth Development Cabinet Poster (Ginandjar Kartasasmita).jpg
Achmad Tahir;1924-06-27;2002-08-17;Rumah Sakit Medistra, Jakarta, Indonesia;Islam;;;;;Rooslila Simanjuntak;"Gelora Surya Dharma
Heriyanto Tahir
Hari Indra Utama
Yulia Saprita
Linda Amalia Sari
Adi Putra Darmawan Tahir
Chaerul Permata Cita";;;Kisaran, Sumatera Utara, Hindia Belanda;Jenderal TNI (HOR) (Purn.) Achmad Tahir, S.I.P.  ;https://id.wikipedia.org/wiki/Achmad_Tahir;;Achmad Tahir - Fourth Development Cabinet.jpg
Akbar Tanjung;1945-08-14;;;Islam;;;;;Krisnina Maharani;;;"Universitas Indonesia
Universitas Gadjah Mada";Sorkam, Tapanuli Tengah, Sumatera Utara, Hindia Jepang;Ir. Djandji Akbar Zahiruddin Tandjung (lahir 14 Agustus 1945), lebih sering disebut Akbar Tandjung, adalah seorang politikus Indonesia yang menjabat sebagai Ketua Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) dari 1999 hingga 2004. Sebagai anggota Partai Golongan Karya (Golkar), ia juga menjabat sebagai ketua umum partai dari 1999 hingga 2004, dan menjadi anggota DPR RI dari Jawa Timur dari 1977 hingga 2004. Akbar menyelesaikan disertasi tingkat doktor dalam bidang Ilmu Politik di Universitas Gadjah Mada pada tahun 2007.;https://id.wikipedia.org/wiki/Akbar_Tanjung;;Akbar Tandjung, Buku Kenangan Anggota Dewan Perwakilan Rakyat Republik Indonesia 1999-2004, p564.jpg
Soemono;;;Indonesia;;;;;;;;;Institut Teknologi Bandung;Hindia Belanda;"Prof. Ir. R. Soemono adalah seorang guru besar teknik sipil Institut Teknologi Bandung yang berperan penting dalam upaya pendirian ""Institut Teknologi"" di Kota Bandung. Dia merupakan Ketua Presidium ITB yang bertugas dalam memimpin kampus ini pada periode 2 Maret 1959 - 1 November 1959, sehingga tidak salah jika ia bersama anggota Presidium lainnya dianggap sebagai rektor pertama ITB dan rektor ketujuh belas Kampus Ganesha sejak TH Bandung didirikan.";https://id.wikipedia.org/wiki/Soemono;;
A.M. Fatwa;1939-02-12;2017-12-14;Jakarta, Indonesia;Islam;Kanker hati;;;;Noenoeng Noerdjanah;"Dian Islamiati
Diah Sakinah
Ikar Fatahillah
Rijalulhaq
M. Averus";;Akademi Angkatan Laut;Bone, Sulawesi Selatan, Hindia Belanda;Kapten KKO (Purn.) Dr. (H.C.) Drs. H. Andi Mappetahang Fatwa atau A. M. Fatwa (12 Februari 1939 – 14 Desember 2017) adalah seorang senator, politikus, aktivis, birokrat, dan perwira militer Indonesia yang menjabat sebagai anggota Dewan Perwakilan Daerah Republik Indonesia dari Provinsi DKI Jakarta sejak 2009 hingga kematiannya pada 2017. Sebelumnya, ia pernah menjabat Anggota DPR-RI/Wakil Ketua MPR-RI periode 2004–2009 dan Wakil Ketua DPR-RI 1999–2004. Ia meninggal karena penyakit kanker hati pada tanggal 14 Desember 2017 pukul 06.00 WIB pagi di Rumah Sakit MMC, Jakarta.;https://id.wikipedia.org/wiki/A.M._Fatwa;;AM Fatwa.jpg
