article_title,honorific-prefix,name,honorific-suffix,image,smallimage,order,president,office,term_start,term_end,lieutenant,succeeding,predecessor,governor,successor,vicepresident,viceprimeminister,deputy,monarch,primeminister,taoiseach,chancellor,governor-general,order1,president1,office1,term_start1,term_end1,lieutenant1,succeeding1,predecessor1,governor1,successor1,vicepresident1,viceprimeminister1,deputy1,monarch1,primeminister1,taoiseach1,chancellor1,governor-general1,order2,office2,term_start2,term_end2,lieutenant2,succeeding2,predecessor2,president2,governor2,successor2,vicepresident2,viceprimeminister2,birthname,birth_date,birth_place,death_date,death_place,nationality,restingplace,restingplacecoordinates,party,otherparty,spouse,partner,relatives,children,parents,residence,alma_mater,occupation,allegiance,serviceyears,rank,branch,unit,battles,awards,laterwork,profession,signature,website,facebook,facebookpage,twitter,premier2,4namedata7,currentlyresides,honorific prefix,othername,relations,signature_size,order8,term_start3,term_start11,vicepresident6,primeminister6,predecessor7,term_label,office3,1namedata1,constituency1,order9,image_upright,networth,1blankname8,2,president11,2blankname7,body_discovered,military_data2,co-leader1,governor5,monuments,influences,criminal_charge,blank1,vicepresident5,education,Alma_mater,deathplace,parliamentarygroup,office5,term_end15,source,successor6,predecessor14,office6,military_blank4,alongside6,majority,constituency_MP4,notable,1blankname4,relation,alongside,vicepresident4,military_blank5,imagesi♫ze,term_start10,term_start5,placeofburial,filmfareawards,successor7,term_end11,1namedata7,termstart1,committees,portrayedby,imagesize,majority2,term_start6,module4,blank4,term_start12,resting_place_coordinates,termend1,constituency6,1,appointer2,birth_name,predecessor3,appointer,servicenumber,term_end8,order12,data5,monarch2,Commander4,president15,honorific_prefix,successor10,location,parliament3,1blankname1,deputy2,Term_start5,branch_label,order3,term_end9,president4,co-leader2,president8,predecessor15,Primeminister5,majority1,military_data1,parliamentarygroup1,parliament4,order4,successor12,succeeding4,native_name_lang,military_data3,president7,smallimage_alt,caption,predecessor6,alt,data1,commands,order5,successor11,term_end4,data4,3namedata7,1blankname6,governor3,year,alongside3,appointed,1blankname2,office14,4blankname7,term_end14,influenced,office12,predecessor11,profesion,military_data5,mother,mawards,1namedata6,battles_label,military_data4,years_active,office7,president6,constituency7,office4,date,term_start9,ambassador_from,command,predecessor9,parliamentarygroup2,2namedata7,1namedata5,successor9,term_end10,1namedata3,predecessor12,father,lieutenant8,1namedata2,prior_term,predecessor10,alongside5,term_start7,constituency8,term_end7,primeminister4,ethnicity,lieutenant3,successor13,military_blank2,family,majority3,deputy3,president9,data3,predecessor8,term_start15,deathdate,president5,death_cause,co-leader,order10,President5,native_name,religion,height,placeofburial_label,Succeeding5,office10,module2,1namedata8,citizenship,primeminister3,serviceyears_label,other_name,1blankname3,order14,president12,office11,term_end3,net_worth,governor_general,suboffice,constituency4,term_start8,resting_place,memorials,military_blank1,president3,salary,predecessor13,primeminister2,other_names,term_end13,honorific_suffix,nickname,constituency2,1namedata,successor3,blank3,criminal_penalty,3blankname7,subterm,1blankname7,placeofburial_coordinates,1blankname,blank5,constituency,constituency3,term_end6,term_end12,termstart3,module3,successor14,enteredservice,order7,primeminister5,order6,termstart2,term_start14,office9,successor4,vicepresident3,portfolio,constituency_MP3,image_size,module5,honorific suffix,successor8,lieutenant4,office8,predecessor5,term_label5,termend3,module,country,termend2,blank2,predecessor4,successor15,1blankname5,yearsactive,pronunciation,signature_alt,1namedata4,term_start13,state,term_start4,data2,office15,footnotes,rank_label,known_for,successor5,alongside2,succeeding5,succeeding3,term_end5,status,cabinet,Cicit,alongside4,military_blank3,summary,wikiurl,birth_date_cleaned,death_date_cleaned
Mohamad Suleman Hidayat,,,,Mohamad Suleman Hidayat.jpg,,ke-23,Susilo Bambang Yudhoyono,Menteri Perindustrian Indonesia,22 Oktober 2009,20 Oktober 2014,,,Fahmi Idris,,Saleh Husin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1944 12 2 y,"Jombang, Jawa Timur, Masa Pendudukan Jepang",,,Indonesia,,,,,Nuraini Mahdiati,,,Rully Hidayat Erik Hidayat Maxi Hidayat Kemal Hidayat Nayaka Untara Nurul Insani Hidayati,,,Universitas Padjadjaran,,,,,,,,,,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ir. H. Mohamad Suleman Hidayat (lahir 2 Desember 1944), adalah seorang politikus Indonesia yang pernah menjabat sebagai Menteri Perindustrian Indonesia dari 22 Oktober 2009 hingga 20 Oktober 2014. Sebelumnya ia menjabat sebagai Ketua KADIN sejak 2003 hingga 2013. Dia memperoleh gelar S1 dari Fakultas Ekonomi dan bisnis Universitas Padjadjaran. Karena ingin menfokuskan diri di jabatan Menteri Industri, jabatan ketua Kadin dilepas dan digantikan oleh Adi Putra Darmawan Tahir pada tahun 2010. Sebelumnya ia juga pernah menjabat sebagai ketua Real Estate Indonesia (1989 – 1992) dan wakil ketua Federasi Real Estate Asia Pasifik (Asia Pacific Real Estate Federation/APREF), dan juga sebagai anggota komisi keuangan dan perbankan DPR pada periode 2004-2009.",https://id.wikipedia.org/wiki/Mohamad_Suleman_Hidayat,1944-12-02,
Chaerul Saleh,Jenderal TNI (HOR) (Anumerta) H.,,,ChairulSaleh.jpg,,Ke-1,Soekarno,Ketua Majelis Permusyawaratan Rakyat Sementara Indonesia,1960,1966,,,Jabatan Dibentuk,,Abdul Harris Nasution,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Perindustrian Dasar & Pertambangan Indonesia,10 Juli 1959,27 Agustus 1964,,,Soeharto Sastrosoeyoso,Soekarno,,Hadi ThayebArmunanto,,,,1916 9 13,"Belanda Sawahlunto, Sumatera Barat, Hindia Belanda",1967 2 8 1916 9 13,"Jakarta, Indonesia",,,,"Partai Nasional Indonesia
Partai Murba",,Yohana Siti Menara Saidah,,,,,,,Politisi,Indonesia,,25px Jenderal TNI (Kehormatan),25px TNI Angkatan Darat,,,,,,,,,,,,,,,,Lanjumin Dt. Tumangguang (mertua),,,9 April 1957,,,,,,Menteri Negara Urusan Veteran Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dahlan Ibrahim,,,,,,,,,,,,,,,,,ke-3,,,,,,,,,,,,,,,,,,Chairul Saleh,,,,,,,,,,,,,,,,,,,,,,,,Zubaidah binti Ahmad Marzuki,,,,,,,,,,,,,,,,,,,,,,Achmad Saleh,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,Djoeanda Kartawidjaja,,,,,,,6 Juli 1959,,,,,,,,,Soekarno,,,,,,,,,,Sambas Atmadinata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jenderal TNI (HOR) (Anumerta) Dr. (H.C.) H. Chaerul Saleh gelar Datuk Paduko Rajo (13 September 1916 – 8 Februari 1967) adalah seorang pejuang dan tokoh politik Indonesia yang pernah menjabat sebagai wakil perdana menteri, menteri, dan ketua MPRS dari tahun 1957 sampai 1966. Ia juga mengajukan ide negara kepulauan dengan batas teritorial 12 mil laut yang di­sahkan pada 13 Desember 1957. Atas jasa-jasanya, Chaerul dianugerahi gelar kehormatan Jenderal TNI.",https://id.wikipedia.org/wiki/Chaerul_Saleh,1916-09-13,1967-02-08
Notohatyanto,,Notohatyanto,,"Collectie NMvWereldculturen, TM-60042253, Foto- De delegatie van Oost-Java tijdens een Federale conferentie voor een Federaal Indonesie, Batavia, 14 juni 1948, 1948 (Notohatyanto).jpg",,,,Kepala Jawatan Imigrasi,1 Januari 1960,18 Januari 1961,,,Alwi Sutan Osman,,Hoegeng Iman Santoso,,,,,,,,,,,Anggota Dewan Perwakilan Rakyat Sementara Jawa Timur,26 November 1948,14 Juni 1949,,,,,Soeriaadiningrat,,,,,,,,,,,,,,,,,,,,,,1907 9 10,"Rembang, Jawa Tengah, Hindia Belanda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sidoardjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Raden Panji Notohatyanto (lahir 10 September 1907) merupakan seorang birokrat dari Indonesia yang menjabat sebagai Kepala Jawatan Imigrasi dari tahun 1960 hingga 1961.,https://id.wikipedia.org/wiki/Notohatyanto,1907-09-10,
Agung Firman Sampurna,,Agung Firman Sampurna,,Ketua BPK RI Agung Firman Sampurna.jpg,,,,Ketua Badan Pemeriksa Keuangan Republik Indonesia ke-17,21 Oktober 2019,21 April 2022,,,Moermahadi Soerja Djanegara,,Isma Yatun,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ketua Umum PBSI,6 November 2020,,,,Wiranto,,,,,,,1971 11 19,"Madiun, Jawa Timur, Indonesia",,,Indonesia,,,,,Dian Anggraini,,Wahyu Sanjaya  Dewi Yustisiana (saudara),Rahmat Sampurna,Kahar Muzakir (ayah),,,Ekonom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S.E., M.A.P., CSFA., CFrA., CGCAE., QGIA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dr. Agung Firman Sampurna, S.E., M.A.P., CSFA., CFrA., CGCAE., QGIA. (lahir 19 November 1971) adalah birokrat Indonesia yang menjabat Ketua Badan Pemeriksa Keuangan Republik Indonesia antara tahun 2019 dan 2022. Agung terpilih secara aklamasi oleh sembilan anggota BPK menggantikan Moermahadi Soerja Djanegara. Sebelumnya, ia menjabat sebagai Anggota I BPK-RI periode 2014–2019, Anggota III (2012–2013), dan Anggota V (2013–2014).",https://id.wikipedia.org/wiki/Agung_Firman_Sampurna,1971-11-19,
Syarief Thayeb,Letnan Jenderal TNI (Purn.) Dr. (H.C.) dr.,,,"File:Syarief Thayeb, Duta Besar RI untuk Amerika Serikat.jpg",,ke-16,Soeharto,Menteri Pendidikan dan Kebudayaan Indonesia,22 Januari 1974,29 Maret 1978,,,Soemantri Brodjonegoro,,Daoed Joesoef,,,,,,,,,ad-interim,Soeharto,Menteri Luar Negeri Indonesia,1 Oktober 1977,29 Maret 1978,,,Adam Malik,,Mochtar Kusumaatmadja,,,,,,,,,,,,,,,,,,,,,,1920 7 7 y,"Peureulak, Aceh, Hindia Belanda",1989 11 11 1920 7 7 y,,,,,,,,,Teuku Mohammad Hadi Thayeb (saudara),,Teuku Chik Mohammad Thayeb,,Ika Dai GakuHarvard UniversityMindanao University,Tentara  Dokter,,,,,,,,,,,,,,,,,,,,,,,1971,,,,,,Duta Besar Indonesia untuk Amerika Serikat,,,,,,,,,,,,,,,,,,,,,,,,,,Sumantri Brodjonegoro,,Rektor Universitas Indonesia,,,,,,,,,,,,,18 Maret 1966,,,,,,,,,,,1962,,,,,,,,,,Soedjatmoko,,,,,,,,,,,,,,,,,ke-7,,Soekarno,,,,,,,,,ke-3,,,,,,,,Soedjono D. Poesponegoro,,,,,,24 Februari 1966,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,Roesmin Noerjadin,,,,,,,,,,,1964,,,,,,,,ke-5,,,,Johannes Leimena,,,,,,,,,,Johannes Leimena,,,,,,,Thoyib Hadiwidjaja,,,,,,,,,27 Agustus 1964,,,,,,Mashuri Saleh,,,,27 Maret 1966ad-interim,,,,,,"Letnan Jenderal TNI (Purn.) Dr. (H.C.) dr. Teuku Mohammad Syarif Thayeb (7 Juli 1920 – 3 November 1989) adalah dokter, professor, dan tokoh pemerintahan. Jabatan yang pernah diduduki adalah Menteri Pendidikan dan Kebudayaan Indonesia tahun 1974 hingga tahun 1978 pada Kabinet Pembangunan II. Ia juga pernah menjabat sebagai Duta Besar Indonesia untuk Amerika Serikat pada tahun 1971 (menggantikan Soedjatmoko) hingga 1974. Terakhir ia menjadi anggota Dewan Pertimbangan Agung. Ia berpendapat, kebebasan mimbar akademis meliputi kebebasan berpendapat serta penyampaian ilmu pengetahuan dan teknologi secara lisan maupun tertulis.",https://id.wikipedia.org/wiki/Syarief_Thayeb,1920-07-07,1989-11-11
Raden Mas Sewaka,,Raden Mas Sewaka  ᮛᮓᮨᮔ᮪ ᮙᮞ᮪ ᮞᮨᮝᮊ,,"Mr. mas sewaka 1947-1948, 1950-1952.jpg",,ke-4,,Gubernur Jawa Barat,1 April 1947,28 Juni 1951,Ipik Gandamana,,Murdjani,,Sanusi Hardjadinata,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-5,Menteri Pertahanan Republik IndonesiaMenteri Pertahanan Indonesia,9 Mei 1951,3 April 1952,,,Abdoel Halim,Soekarno,,Sri Sultan Hamengkubuwono IX,,,,1895,"Cirebon, Jawa Barat, Hindia Belanda",,,Indonesia,,,Partai Indonesia Raya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 April 1943,,,,,,Bupati Cirebon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raden Tumenggung Aria,Pangeran Ario Soeriadi,,,,,,,,,,,,,,,,,ke-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0,,,,,,,,,,,,,,,,,,,,,,15 Juli 1945,,,,,,,,,,,,,,,,,,,Raden Tumenggung Oemar Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Raden Tumenggung Aria atau yang dikenal dengan R. Mas Sewaka (aksara Sunda: ᮛᮓᮨᮔ᮪ ᮒᮨᮙᮨᮀᮌᮥᮀ ᮃᮛᮤᮃ; 1895–1967) adalah gubernur Jawa Barat keempat. Menjabat dari tahun 1947–1948 dan 1950–1951. Gubernur Jabar keempat dan keenam ini lahir di Cirebon, Jawa Barat tahun 1895, hampir seluruh masa hidupnya dihabiskan dalam bidang pemerintahan di Jabar. Ia meniti karier mulai dari pegawai magang juru tulis wedana Losari, Mantri Polisi Weru, dan camat Jatiwangi. Sebelum menjadi gubernur, Sewaka diperbantukan kepada Gubernur Jabar Dr. Murjani di Tasikmalaya, Jawa Barat (1946) karena situasi Bandung yang tidak menentu dengan adanya tentara NICA. Sewaka juga pernah menjadi Bupati Cirebon dari tahun 1943-1945",https://id.wikipedia.org/wiki/Raden_Mas_Sewaka,1895,
Slamet Kirbiantoro,,Slamet Kirbiantoro,,kirbiantoro01.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 3 18,"Kutoarjo, Purworejo, Jawa Tengah",2018 7 19 1948 3 18,Jakarta,,,,,,Ny.Muchayisoh,,,,,,AKABRI (1970),,Indonesia,1970-2002,25px Mayor Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mayor Jenderal TNI (Purn.) Slamet Kirbiantoro (18 Maret 1948 – 19 Juli 2018) adalah seorang purnawirawan perwira tinggi TNI Angkatan Darat dengan pangkat terakhir Mayor Jenderal. Kirbiantoro lulus AKABRI di Magelang pada tahun 1970, dia lebih dikenal sebagai mantan Pangdam Jayakarta Pada tahun 2000-2001 pada masa jabatan presiden Abdurrahman Wahid. Jabatan terakhir di TNI adalah Wakil Irjen Mabes TNI dengan pangkat Mayor Jenderal.",https://id.wikipedia.org/wiki/Slamet_Kirbiantoro,1948-03-18,2018-07-19
Mochtar Kusumaatmadja,,,,Mochtar Kusumaatmadja (1978).jpg,,ke-12,Soeharto,Menteri Luar Negeri Indonesia,29 Maret 1978,21 Maret 1988,,,Adam Malik,,Ali Alatas,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-16,Menteri Kehakiman Indonesia,22 Januari 1974,29 Maret 1978,,,Oemar Seno Adji,Soeharto,,Mudjono,,,,1929 2 17,"Batavia, Hindia Belanda",2021 6 6 1929 2 17,"Jakarta, Indonesia",,,,Partai Golongan Karya (–2021),,Siti Chadidjahhttps://www.bappenas.go.id/id/berita-dan-siaran-pers/selamat-jalan-ibu-hj-siti-chadijah-mochtar-kusumaatmadja/ Selamat Jalan Ibu Hj. Siti Chadijah Mochtar Kusuma-atmadja bappenas.go.id id 2014-06-30 2021-07-11,,,"3, termasuk Armida Alisjahbana",,,Universitas Indonesia Universitas Padjajaran,Dosen Politisi,,,,,,,,,Diplomat,,,,,,,,,,,Sudarsono Mangoenadikoesoemo (paman)  Sarwono Kusumaatmadja (adik)  Juwono Sudarsono (sepupu)  Chairul Saleh (sepupu),,,1973,,,,,,Rektor Universitas Padjadjaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prof R. S. Soeria Atmadja,,,,,,,,,,,,,,,,,ke-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,,,,,,"Taman Makam Pahlawan Kalibata, Jakartahttps://www.liputan6.com/news/read/4574949/mochtar-kusumaatmadja-akan-dimakamkan-di-tmp-kalibata Mochtar Kusumaatmadja Akan Dimakamkan di TMP Kalibata Liputan6.com id 2021-06-06 2021-07-11 Hutabarat Delvira Putra Putu Merta Surya",,,Soeharto,,,,,,,,,,Prof Hindersah Wiratmaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prof. Dr. Mochtar Kusumaatmadja, S.H., LL.M. (17 Februari 1929 – 6 Juni 2021) adalah seorang akademisi dan diplomat Indonesia. Ia pernah menjabat sebagai Menteri Kehakiman dari tahun 1974 sampai 1978 dan Menteri Luar Negeri dari tahun 1978 sampai 1988. Selain itu ia adalah guru besar di Fakultas Hukum Universitas Padjadjaran Bandung. Definisinya tentang hukum adalah ""Hukum adalah keseluruhan asas-asas dan kaidah-kaidah yang mengatur kehidupan masyarakat, termasuk didalamnya lembaga dan proses untuk mewujudkan hukum itu ke dalam kenyataan"", dianggap paling relevan dalam menginterpretasikan hukum pada saat ini. Doktrin tersebut menjadi mahzab/prinsip yang dianut di Fakultas Hukum Universitas Padjadjaran hingga saat ini.",https://id.wikipedia.org/wiki/Mochtar_Kusumaatmadja,1929-02-17,2021-06-06
Mashudi,,Mashudi,,Gubernur Jawa Barat Mashudi.jpg,,ke-3,Soeharto,Ketua Kwartir Nasional Gerakan Pramuka,1978 12 18,1993 5 8,,,M. Sarbini,,Himawan Soetanto,,,,,,,,,,,,,,,,,,,,,,,,,,,ke-7,Gubernur Jawa Barat,6 Februari 1960,14 Februari 1970,Astrawinata (1960–63) E. Dachjar Sudiwijaya (1963–67) Raden Ahmad Nashuhi (1967–70),,Ipik Gandamana,,,Solihin Gautama Purwanegara,,,,1919 9 11,"Cibatu, Garut, Jawa Barat, Hindia BelandaApa Siapa Orang Sunda",2005 6 22 1919 9 11,"Jakarta, Indonesia",,,,,,Ny. Yetty RochyatiIstri Gubernur ke-9 Jawa Barat Meninggal Dunia Kumparan.com (28/7/2018),,,,,,,Tentara,,,25px Letnan Jenderal TNI,25px TNI Angkatan Darat,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180px,,,,,,,,,,,Mashudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mashudi sebagai Gubernur Jawa Barat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letnan Jenderal TNI (Purn.) Dr. (H.C.) H. Mashudi 11 September 1919 – 22 Juni 2005) adalah mantan Gubernur Jawa Barat dan mantan Ketua Kwartir Nasional (Kwarnas) Gerakan Pramuka pada tahun 1978–1993.,https://id.wikipedia.org/wiki/Mashudi,1919-09-11,2005-06-22
Roeslan Abdulgani,,Roeslan Abdulgani,,"Roeslan Abdulgani, Kami Perkenalkan (1954), p37.jpg",,Ke-15,Soekarno,Wakil Perdana Menteri,18 Maret 1966,27 Maret 1966,,,"Soebandrio, Johannes Leimena, Chaerul Saleh",,"Sri Sultan Hamengkubuwana IX, Johannes Leimena, Idham Chalid, Adam Malik, Dan Soeharto",,,,,,,,,,,,,,,,,,,,,,,,,,,ke-15,Menteri Penerangan Indonesia,13 November 1963,27 Agustus 1964,,,Mohammad Yamin,Soekarno,,Achmadi Hadisoemarto,,,,1914 11 24,"Surabaya, Hindia Belanda",2005 6 29 1914 11 24,"Jakarta, Indonesia",,,,,,,,,,,,,,,,25px|  Jenderal TNI (Kehormatan),25px TNI Angkatan Darat,,,,,Diplomat,Signature of Roeslan Abdulgani.svg,,,,,,,,,,,,,24 Maret 1956,,,,,,Menteri Luar Negeri Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ida Anak Agung Gde Agung,,,,,,,,,,,,,,,,,ke-9,,Soekarno,,,,,,,,,ke-1,,,,,,,,,,,,,,12 Juni 1966,,,,,,,,,,,,,,,,,,,,,,,,,,Rektor IKIP Bandung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sri Sultan Hamengkubuwana IX, Johannes Leimena, Idham Chalid,  Dan Adam Malik",,,,,,,,,,,,,,,,,,,9 April 1957,,,,,,,,,Soekarno,,,,,,,,,,Soebandrio,,,,,,,,,,,,,,,,,,,,,,,"Prof. Dr. H. Achmad Sanusi, S.H., M.PA.",,,,,,,,,,,,,,,,,Periode PTPG Bandung dan FKIP UNPAD,,,,,,,,,2 Mei 1964,,,,,,,,,,,,,,,,"Prof. Dr. (H.C.) H. Roeslan Abdulgani (24 November 1914 – 29 Juni 2005) adalah negarawan dan politikus Indonesia yang merupakan Menteri Luar Negeri Indonesia pada tahun 1956-1957. Dia akrab dipanggil Cak Roes. Dia juga pernah menjadi Rektor IKIP Bandung yang pertama periode 1964-1966, dan tercatat sebagai Pimpinan ke 3 Kampus Bumi Siliwangi sejak bernama PTPG Bandung.",https://id.wikipedia.org/wiki/Roeslan_Abdulgani,1914-11-24,2005-06-29
Widjojo Soejono,Jenderal TNI (Purn.),,,250px,,,Soeharto,Kepala Staf Komando Keamanan dan Ketertiban,1980,1982,,,,,,Adam Malik,,,,,,,,ke-6,,Komandan Jenderal Komando Pasukan Khusus,1967,1970,,,Brigjen TNI Sarwo Edhi Wibowo,,Brigjen TNI Witarmin,,,,,,,,,,,,,,,,,,,,,,1928 5 9,"Tulungagung, Jawa Timur",2022 5 11 1928 5 9,Jakarta Pusat,,,,,,Ny. Siti Mastoechajah (Alm),,,1. Enny Lukitaning Diah2. Wedhia Purwaningsih3. Ariyati Sihwarini4. Hardini Surjaningsih5. Budhi Soejono,,,Peta (1945),,Indonesia,1945–1982,25px Jenderal TNI,25px TNI Angkatan Darat,Infanteri (Kopassandha),,,,,,,,,,,,,,,"Martodidjojo (Ayah)Roesmirah (Ibu) Kolonel Dr. Soewondo (Kakak)
Widjojo Soeprapto (Kakak)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widjojo Soejono,,,,,,,,,Komandan Pusat Pasukan Khusus Angkatan Darat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenderal TNI (Purn) Widjojo Soejono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudomo,,,,,,,,Panglima Kopkamtib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jenderal TNI (Purn.) Widjojo Soejono (9 Mei 1928 – 11 Mei 2022) merupakan seorang purnawirawan dengan pangkat bintang empat di pundaknya. Dan mantan Komandan Puspasus sekarang Kopassus ke-6 periode 1967-1970.,https://id.wikipedia.org/wiki/Widjojo_Soejono,1928-05-09,2022-05-11
