title,jenis_infobox,infobox
Garuda Indonesia Penerbangan 708,infobox aircraft occurrence,"{{Infobox aircraft occurrence
| name            = Garuda Indonesian Airways Penerbangan 708
| image           = Lockheed L-188 Electra, Garuda Airlines (cropped).jpg
| image_upright   = 1.2
| caption         = Sebuah pesawat Lockheed L-188C Electra Garuda Indonesian Airways yang serupa dengan pesawat yang mengalami kecelakaan.
| occurrence_type = Kecelakaan
| date            = 16 Februari 1967
| summary         = [[Kelalaian pilot]], cuaca buruk
| site            = [[Bandar Udara Internasional Sam Ratulangi|Bandar Udara Mapanget]], [[Manado]], Indonesia
| aircraft_type   = [[Lockheed L-188 Electra|Lockheed L-188C Electra]]
| operator        = [[Garuda Indonesia|Garuda Indonesian Airways]]
| tail_number     = PK-GLB
| origin          = [[Bandar Udara Internasional Kemayoran|Bandar Udara Kemayoran]], [[Jakarta]]
| stopover0       = [[Bandar Udara Internasional Juanda|Bandar Udara Juanda]], [[Surabaya]]
| last_stopover   = [[Bandar Udara Internasional Sultan Hasanuddin|Bandar Udara Mandai]], [[Makassar]]
| destination     = Bandar Udara Mapanget, Manado
| passengers      = 84
| crew            = 8
| fatalities      = 22
| survivors       = 70
| occupants       = 92
}}"
Indonesia dalam tahun 1984,,
Penyerangan Hotel Wisata,,
Aitarak,infobox militant organization,"{{Infobox militant organization
| name             = Aitarak
| logo             = Flag of AITARAK.svg
| caption          =
| native_name      =
| native_name_lang =
| other_name       =
| country          = [[Timor Leste]] (dulu sebagai provinsi di Indonesia bernama [[Timor Timur]])
| leader           = [[Eurico Guterres]]
| foundation       =
| dates            = 
| predecessor      =
| successor        =
| motives          = Mencegah kemerdekaan Timor Timur
| area             = [[Timor Leste]]
| headquarters     = [[Dili]], [[Timor Timur]]
| ideology         =
| position         = Sayap-kanan
| crimes           =
* [[Pembantaian Gereja Liquiçá]]
* [[Pembantaian Rumah Manuel Carrascalão]]
* [[Pembantaian Gereja Suai]]
| attacks          = [[Operasi Bumi Hangus Timor Timur|Kampanye Bumi Hangus Timor Timur]]
| status           = Ditutup
| size             =
| flag             = 
| website          =
}}"
Mashuri Saleh,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Mashuri Saleh
|image            = Aankomst Minister Mashuri (kop) van O.V. en W. in Indonesie op Schiphol, Bestanddeelnr 921-7871.jpg
|imagesize        = 200px
|caption          = Mashuri Saleh (1968)
|office          = [[Daftar Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia|Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia]]<br/><small>Utusan Golongan</small>
|order           = 
|1blankname       =Ketua MPR/DPR
|1namedata        =[[Adam Malik]] (1977–78) <br/>[[Daryatmo]] (1978–82)
|term_start      = 1 Oktober 1977
|term_end        = 1 Oktober 1982
|president       = [[Soeharto]]
|predecessor     = [[Sumiskum]]
|successor      = [[Amir Murtono]]
|office1          = Menteri Penerangan Indonesia
|order1           = ke-20
|term_start1      = 28 Maret 1973
|term_end1        = 1 Oktober 1977
|president1       = [[Soeharto]]
|predecessor1     = [[Boediarjo]]
|successor1      = [[Soedharmono]] (ad-interim)
|office2          = Menteri Pendidikan dan Kebudayaan Indonesia
|order2           = ke-14
|term_start2      = 6 Juni 1968
|term_end2        = 28 Maret 1973
|president2       = [[Soeharto]]
|predecessor2     = [[Sanusi Hardjadinata]]
|successor2       = [[Sumantri Brodjonegoro]]
|office3          = Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia
|order3           = ke-5
|term_start3      = 27 Maret 1966
|term_end3        = 25 Juli 1966
|president3       = [[Soekarno]]
|predecessor3     =  [[Syarief Thayeb]] (ad-interim)
|successor3       = ''Tidak Ada''; ''Jabatan dihapuskan''
|birth_date       = {{birth date|1925|7|19}}
|birth_place      =  [[Juwana, Pati|Juwana]], [[Pati]], [[Jawa Tengah]],[[Hindia Belanda]]
|death_date       = {{death date and age|2001|4|1|1925|7|19}}
|death_place      = [[Surakarta]], [[Jawa Tengah]],[[Indonesia]]
|party            = 
|spouse           = 
|children         = 
|residence        = 
|alma_mater       = 
|occupation       = 
|religion         = [[Islam]]
| relations       = [[Maskanan]] (saudara kandung)
}}"
Serangan ke Limbang,infobox military conflict,"{{Infobox Military Conflict
|conflict=Serangan ke Limbang
|partof=[[Konfrontasi Indonesia-Malaysia]]
|image=
|caption=
|date=[[12 Desember]] [[1962]]
|place=[[Limbang]], [[Sarawak]], [[Borneo]]
|casus=
|territory=
|result=Kemenangan Britania
|combatant1={{negaranama|Britania Raya}}
|combatant2=[[Tentara Nasional Kalimantan Utara]]
|commander1=[[Jeremy Moore]]
|commander2=Salleh Bin Sambas
|strength1=Satu [[kompi]]
|strength2=~150
|casualties1=Lima tewas, delapan terluka
|casualties2=12 tewas, 15 terluka
}}"
Indonesia dalam tahun 1983,,
Fuad Bawazier,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = [[Doktor|Dr.]]
|name             = {{PAGENAME}}
|image            = Fuad Bawazier.jpg
|imagesize        = 
|caption          = 
|office           = Menteri Keuangan Indonesia 
|order            = ke-19
|term_start       = 16 Maret 1998
|term_end         = 21 Mei 1998
|president        = [[Soeharto]]
|vicepresident    = [[Bacharuddin Jusuf Habibie]]
|predecessor      = [[Mar'ie Muhammad]]
|successor        = [[Bambang Subianto]]
|birth_date       = {{birth date and age|1949|8|22}}
|birth_place      =  [[Tegal]], [[Jawa Tengah]], [[Indonesia]]
|death_date       = 
|death_place      = 
|party            = [[Partai Golongan Karya|Golkar]] (–1998) <br>[[Partai Amanat Nasional|PAN]] (1998–2006) <br>[[Partai Hati Nurani Rakyat|Hanura]] (2006–14)<ref>{{Cite news|url=http://fokus.news.viva.co.id/news/read/506272-hary-tanoe-dan-fuad-bawazier-mundur-hanura-pecah|title=Hary Tanoe dan Fuad Bawazier Mundur, Hanura Pecah?|date=22 Mei 2014|first=Aries|last=Setiawan|first2=Erick|last2=Tanjung|first3=Syahrul|last3=Ansyari|access-date=10 Januari 2017|work=[[VIVA.co.id]]|archive-date=2017-01-10|archive-url=https://web.archive.org/web/20170110090131/http://fokus.news.viva.co.id/news/read/506272-hary-tanoe-dan-fuad-bawazier-mundur-hanura-pecah|dead-url=no}}</ref> <br>[[Partai Gerakan Indonesia Raya|Partai Gerindra]] (2015–)<ref>{{Cite news|url=http://news.metrotvnews.com/read/2015/04/08/382898/fuad-bawazier-bergabung-ke-partai-gerindra|title=Fuad Bawazier Bergabung ke Partai Gerindra|access-date=10 Januari 2017|date=8 April 2015|work=[[MetroTV|Metrotvnews.com]]|last=KRI|archive-date=2017-01-10|archive-url=https://web.archive.org/web/20170110164009/http://news.metrotvnews.com/read/2015/04/08/382898/fuad-bawazier-bergabung-ke-partai-gerindra|dead-url=yes}}</ref>
|spouse           = Soerjati
|children         = [[Mohamad Hekal|Muhammad Haikal Bawazier]]<Br>[[Nora Bawazier]]<Br>Mohammad Yamin
|residence        = 
|alma_mater       = [[SMA Negeri 1 Cilacap]] <br>[[Universitas Gadjah Mada]]<br>William College<Br>University of Maryland
|occupation       = Politisi
|religion         = [[Islam]]
}}"
Tabrakan kereta api Ratujaya 1968,infobox rail accident,"{{Infobox rail accident
|image =
|caption =
|date = {{Start date and age|1968|9|20}}
|time = pagi hari
|location = [[Ratujaya, Cipayung, Depok]]
|country = [[Indonesia]] 
|line = Manggarai-Bogor
|operator = [[Kereta Api Indonesia|Perusahaan Negara Kereta Api]]
|type = Tabrakan berhadapan
|cause = Kesalahan manusia (''human error'')
|trains = 2 (ESS 3201 ft. KA 406 & BB201 11 ft. KA 309)
|pax = 
|deaths = 116
|injuries =84 
}}"
Komando Operasi Pemulihan Keamanan dan Ketertiban,infobox government agency,"{{Infobox government agency
| name                 = Komando Operasi Pemulihan Keamanan dan Ketertiban
| native_name          = Operational Command for the Restoration of Security and Order
| native_name_a        = 
| native_name_r        = 
| type                 = 
| seal                 = 
| seal_size            =
| seal_caption         = 
| seal_alt             =
| logo                 = 
| logo_size            =
| logo_caption         = 
| logo_alt             =
| image                = 
| image_size           = 
| image_caption        = 
| image_alt            =
| formed               = {{Start date|1965|10|10}}
| preceding1           = 
| preceding2           = <!-- up to |preceding6= -->
| dissolved            = {{End date|1988|09|5}}
| superseding1         = Badan Koordinasi Bantuan Pemantapan Stabilitas Nasional
| superseding2         = <!-- up to |superseding6= -->
| agency_type          = 
| jurisdiction         = [[Indonesia]]
| status               = Dibubarkan
| headquarters         = 
| coordinates          = <!-- {{coord|LATITUDE|LONGITUDE|type:landmark_region:US|display=inline,title}} -->
| motto                = 
| budget               = 
| minister_type        = Pangkopkamtib
| minister1_name       = {{ubl|[[Soeharto]] (pertama)|[[Benny Moerdani]] (terakhir)}}
| parent_department    = 
| parent_agency        = 
| parent_agency_type   = <!-- defaults to |type if left blank -->
| child1_agency        = 
| child2_agency        = <!-- up to |child25_agency= -->
| keydocument1         = <!-- up to |keydocument6= -->
| agency_id            = 
| map                  = 
| map_size             = 
| map_caption          = 
| map_alt              =
| footnotes            = 
| embed                = 
}}"
Pemilihan Presiden Indonesia 1968,infobox election,"{{Infobox Election
| election_name      = Pemilihan Presiden Indonesia 1968
| country            = Indonesia
| type               = presiden
| ongoing            = no
| previous_election  = Pemilihan Presiden Indonesia 1963
| previous_year      = 1963
| next_election      = Pemilihan Presiden Indonesia 1973
| next_year          = 1973
| election_date      = 27 Maret 1968
| votes_for_election = 616 suara anggota [[Majelis Permusyawaratan Rakyat Sementara]]
| needed_votes       = Ditetapkan berdasarkan perolehan suara terbanyak
| image1 = [[Berkas:Jendral Soeharto2.jpg|125x125px]]
| nominee1           = '''[[Soeharto]]'''
| party1             = Golongan Karya
| electoral_vote1    = '''616'''
| percentage1        = '''100,00%'''
| image2             = 
| nominee2           = 
| party2             = 
| electoral_vote2    = 
| percentage2        = 
<!-- Persentase -->
|result_bar =
{{Composition bar advanced
|boxwidth     = 300
|total        = 100
|party1       = 100
|partycolor1  = {{Angkatan Bersenjata Republik Indonesia/meta/color}}
|divisionname ={{white|Hasil suara}}
}}
|map_image         = Hasil Pilpres 1968.svg
|map_caption       = Suara Majelis Permusyawaratan Rakyat Sementara 
{{legend|#ED1B34|Soeharto: 616 kursi}}
| title              = [[Presiden Indonesia|Presiden]]
| before_election    = [[Soeharto]] [[Kepresidenan Sementara Soeharto|(Pejabat)]]
| before_party       = ABRI
| after_election     = [[Soeharto]]
| after_party        = ABRI
}}"
Kamp pengasingan Moncongloe,infobox prison,"{{Infobox prison
| name                = Kamp pengasingan Moncongloe
| image               = Kamp Moncongloe11.png
| image_size          = 280px
| alt                 = 
| caption             = Peta lokasi Kamp pengasingan Moncongloe
| image_map           = South Sulawesi in Indonesia.svg
| map_size            = 
| map_alt             = 
| map_caption         = 
| pushpin_map         = 
| pushpin_relief      = 
| pushpin_mapsize     = 
| pushpin_map_alt     = 
| pushpin_map_caption = 
| pushpin_label       = 
| map_dot_mark        = 
| location            = 
| coordinates         = {{coord|5|21|6|S|119|55|22|E|region:ID_type:adm1st|display=inline,title}}
| status              = Pengasingan
| classification      = Rehabilitasi
| capacity            = 
| population          = ± 13 ribu (sepanjang 1969–1979)
| population_as_of    = 
| opened              = Maret 1969
| closed              = 1979
| former_name         = Inrehab Kokamtibda Sulselra
| managed_by          = 
| director            = 
| governor            ='''{{small|Daftar kepala kamp}}''':{{br}}Kapten Rakimin (1969–){{br}}Kapten Bonar Siregar{{br}}Kapten Toliu{{br}}Kapten Wahyudin Lubis (–1979)
| warden              = 
| street-address      = Moncongloe
| city               = [[Kabupaten Maros]] dan [[Kabupaten Gowa]]
| county              = 
| state               = [[Sulawesi Selatan]]
| postcode            = 
| zip                 = 
| country             = [[Indonesia]]
| website             = 
| prisoners           = 
| embedded            = 
}}"
Normalisasi Kehidupan Kampus/Badan Koordinasi Kemahasiswaan,,
Renetil,,
Kejuaraan Nasional PSSI 1969,,
Amran YS,infobox person,"{{Infobox person
|name        = Amran YS
|image       = 
|imagesize   = 234px
|alt         = 
|caption     = 
|birth_name  = 
|birth_date  = <!--{{Birth date and age|||}}-->
|birth_place = <!--{{negara|Indonesia}}--> 
|death_date  = <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} (tanggal meninggal diikuti tanggal lahir) -->
|death_place = 
|nationality = [[Indonesia]]
|other_names =  
|alma_mater  = 
|occupation  = [[Aktivis]], [[politisi]]
|known_for   = - Wakil Ketua DPW [[PAN]] [[Sumatera Utara]]<br>- Tokoh sepak bola nasional
|religion    = [[Islam]]
|spouse      = 
|children    = 
|parents     = 
}}"
Frans Seda,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = {{PAGENAME}}
|image            = Indonesia Ambassador to Belgium Frans Seda.jpg
|imagesize        = 
|caption          = 
|office           = Menteri Perhubungan Indonesia
|order            = ke-25
|term_start       = 6 Juni 1968
|term_end         = 28 Maret 1973
|president        = [[Soeharto]]
|predecessor      = Salimin Prawiro Sumarto
|successor        = [[Basuki Rachmat]]
|office2          = Menteri Keuangan Indonesia
|order2           = ke-14
|term_start2      = 25 Juli 1966
|term_end2        = 6 Juni 1968
|president2       = [[Soekarno]]
|predecessor2     = [[Sumarno]]
|successor2       = [[Ali Wardhana]]
|office3          = Menteri Pertanian Indonesia
|order3           = ke-14
|term_start3      = 24 Februari 1966
|term_end3        = 25 Juli 1966
|president3       = [[Soekarno]]
|predecessor3     = Sukarno
|successor3       = [[Sutjipto]]
|birth_date       = {{birth date|1926|10|4}}
|birth_place      =  [[Maumere]], [[Nusa Tenggara Timur]], [[Hindia Belanda]]
|death_date       = {{death date and age|2009|12|31|1926|10|4}}
|death_place      = [[Jakarta]], [[Indonesia]]
|resting_place    = [[San Diego Hills]]
|party            = Partai Katolik<br> [[Partai Demokrasi Indonesia|PDI]]<br/>[[Partai Demokrasi Indonesia Perjuangan|PDI-P]]
|spouse           = Johanna Maria Pattinaja
|children         = 2
|residence        = Jl. Metro Kencana V Nomor 5
|alma_mater       = [[Hogereburgerschool|Hollandsche Burgerschool]]<br/>[[Tilburg University|Katolieke Economische Hogeschool]]
|occupation       = 
}}"
Insiden Trisakti,,
Ali Sadikin,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = <!-- Hanya gelar kenegaraan/kehormatan (bukan gelar akademis/haji/militer) -->
| honorific_suffix    = <!-- Hanya gelar kenegaraan/kehormatan (bukan gelar akademis/haji) -->
| name                = Ali Sadikin
| image               = Ali_Sadikin_(1975).jpg
| caption             = Ali Sadikin pada tahun 1975
| office1             = Daftar Menteri Koordinator Bidang Kemaritiman Indonesia{{!}}Menteri Koordinator Kompartemen Kemaritiman Indonesia
| order1              = ke-1
| term_start1         = 27 Agustus 1964
| term_end1           = 28 Maret 1966
| president1          = [[Soekarno]]
| predecessor1        = ''Tidak Ada''
| successor1          = [[Jatidjan]]
| office2             = Menteri Perhubungan Indonesia{{!}}Menteri Perhubungan Laut Indonesia
| order2              = ke-16
| term_start2         = 13 November 1963
| term_end2           = 28 Maret 1966
| president2          = [[Soekarno]]
| predecessor2        = Abdoelmoettalip Danoeningrat
| successor2          = Susatyo Mardi
| office3             = Gubernur Daerah Khusus Ibukota Jakarta
| order3              = ke-7
| term_start3         = 28 April 1966
| term_end3           = Juli 1977
| predecessor3        = [[Soemarno Sosroatmodjo|Dr. Soemarno]]
| successor3          = [[Tjokropranolo]]
| office4             = [[Persatuan Sepak Bola Seluruh Indonesia#Ketua umum|Ketua Umum Persatuan Sepak Bola Seluruh Indonesia]] ke-8
| order4              = 
| term_start4         = 1977
| term_end4           = 1981
| predecessor4        = [[Moehono]]
| successor4          = [[Sjarnoebi Said]]
| birth_name          = Ali Sadikin
| othername           = 
| religion            = <!-- Kosongkan bagian ini; kolom terkait Suku, Agama dan Ras telah dinonaktifkan -->
| nationality         = <!-- Hanya untuk warga negara asing -->
| birth_date          = {{Birth date|1926|7|7|df=y}}
| birth_place         = [[Kabupaten Sumedang|Sumedang]], [[Jawa Barat]], [[Hindia Belanda]]
| death_date          = {{Death date and age|2008|5|20|1926|7|7|df=y}}
| death_place         = [[Singapura]]
| spouse              = {{marriage|Nani Sadikin|1954|1986|end=d.}}{{br}}{{marriage|Linda Syamsudi Mangan|1987}}
| children            = <!-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -->5
| mother              = Itjih Karnasih
| father              = Raden Sadikin
| signature           = Signature of Ali Sadikin.svg
| allegiance          = {{flag|Indonesia}}
| branch              = [[Berkas:Insignia of the Indonesian Navy.svg|25px]] [[TNI Angkatan Laut]]
| serviceyears        = 1945—1966
| rank                = [[Berkas:Pdu laksdyatni staf.png|25px]] [[Letnan Jenderal]] [[TNI]]
| unit                = [[Korps Marinir|KKO]]
| battles             = [[Sejarah Indonesia (1945-1949)|Revolusi Nasional Indonesia]]
| profession          = Tentara
}}"
Siti Hardijanti Rukmana,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = 
| name                = Siti Hardijanti Rukmana
| image               = Tutut Soeharto, Antara TV, 00.35.jpg
| imagesize           = 
| caption             = 
| office2             = [[Menteri Sosial Indonesia]] ke-23
| term_start2         = 14 Maret 1998
| term_end2           = 21 Mei 1998
| president2          = [[Soeharto]]
| predecessor2        = [[Endang Kusuma Inten Soeweno]]
| successor2          = [[Justika Baharsjah]]
| office3             = Ketua Umum Palang Merah Indonesia
| order3              = ke-10
| term_start3         = 1992
| term_end3           = 1998
| predecessor3        = [[Ibnu Sutowo]]
| successor3          = [[Mar'ie Muhammad]]
| office4             = Anggota [[Majelis Permusyawaratan Rakyat|MPR RI]] Fraksi [[Golkar]]
| term_start4         = 1 Oktober 1992
| term_end4           = 14 Maret 1998
| predecessor4        = 
| successor4          = 
| office5             = Direktur Utama [[MNCTV|TPI]] ke-1
| order5              = 
| term_start5         = 23 Januari 1991
| term_end5           = 23 Januari 1998
| predecessor5        = jabatan baru
| successor5          = Tito Sulistio
| birth_name          = Siti Hardijanti Hastuti
| birth_date          = {{Birth date and age|1949|1|23|df=y}}
| birth_place         = [[Yogyakarta]], [[Indonesia]]
| death_date          = 
| death_place         = 
| nickname            = Mbak Tutut
| party               = {{parpolicon|Golkar}} (sampai 1998)<br>{{parpolicon|PKPB}} (2002–14)<br>{{parpolicon|Berkarya}} (sejak 2018)
| spouse              = Indra Rukmana (m. 1972)
| children            = <!-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -->3
| relatives           = [[Sigit Harjojudanto]] (adik)<br>[[Bambang Trihatmodjo]] (adik)<br>[[Siti Hediati Hariyadi]] (adik)<br>[[Hutomo Mandala Putra]] (adik)<br>[[Siti Hutami Endang Adiningsih]] (adik)
| nationality         = [[Indonesia]]
| parents             = [[Soeharto]] (bapak)<br />[[Siti Hartinah]] (ibu)
| partner             = 
| residence           = 
| alma_mater          = 
| occupation          = 
| awards              = [[Bintang Mahaputera Pratama]]<ref name=""Daftar WNI yang Mendapat Tanda Kehormatan Bintang Mahaputera tahun 1959 s.d. 2003"">{{cite book |title=Daftar WNI yang Mendapat Tanda Kehormatan Bintang Mahaputera tahun 1959 s.d. 2003 |url=https://cdn.setneg.go.id/_multimedia/document/20180910/41462-Bintang_Mahaputera_tahun_1959-2003.pdf |accessdate=2020-12-19}}</ref>
| net_worth           = <!--[[US$]]210 juta (2019)<ref name=Merdeka>{{cite web|title=Tutut Soeharto|url=https://www.merdeka.com/uang/tiga-anak-presiden-soeharto-ada-di-jajaran-orang-terkaya-ri-total-hartanya-rp-16-t.html/|website=Merdeka}}</ref>-->
}}"
Jonggol sebagai Kandidat Ibukota Indonesia,infobox settlement,"{{Infobox settlement
| name                     = Jonggol
| official_name            = Kota Mandiri Jonggol (Garudasakti)
| settlement_type          = [[Ibu kota Indonesia|Usulan Pemindahan Ibukota]]
| subdivision_type         = Negara
| subdivision_name         = {{flag|Indonesia}}
| utc_offset               = +07:00
| extinct_date             = 1998
| subdivision_type1        = Provinsi
| subdivision_name1        = {{flag|Jawa Barat}}
| area_land_ha             = 35,000
}}"
Indonesia dalam tahun 1992,,
Anwar Harjono,,
Resimen mahasiswa,,
Soegih Arto,infobox officeholder,"{{Infobox Officeholder|birth_date={{birth date|1923|12|22}}|birth_place={{flagicon|Belanda}} [[Yogyakarta]], [[Hindia Belanda]]|death_date={{death date and age|2008|12|29|1923|12|22}}|death_place={{flagicon|Indonesia}} [[Jakarta]], [[Indonesia]]|resting_place=[[Taman Makam Pahlawan Nasional Utama Kalibata]], [[Jakarta Selatan]], [[DKI Jakarta]]|honorific-prefix=[[Letjen]] [[TNI]] [[Purnawirawan|(Purn.)]]|image=sugiharto.jpg|allegiance={{flag|Indonesia}}|branch=[[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]|rank=[[Berkas:Pdu_letjendtni_komando.png|25px]] [[Letnan Jenderal]] [[TNI]]|serviceyears=1945 - 1979|commands={{unbulleted list | Batalyon 22 / Djaja Pangerot | Resimen Infanteri 11 T&T III / Siliwangi}}|battles=[[Revolusi Nasional Indonesia]]|alma_mater=Hogere Kriegjschool (1952)|office={{nowrap|[[Daftar Jaksa Agung Indonesia|Jaksa Agung Republik Indonesia Ke-8]]}}|predecessor=[[Agustinus Sutardhio]]|successor=[[Ali Said]]|term_start=1966|term_end=1973|unit=Infanteri|office2=|term_end2=|term_start2=|predecessor2=|successor2=|profession=Jaksa, TNI|religion=Islam}}"
Titiek Soeharto,kotak info pemegang jabatan,"{{Kotak info pemegang jabatan
| name                = Titiek Soeharto
| image               = File:KPU Siti Hediati Hariyadi.jpg
| office              = Anggota [[Dewan Perwakilan Rakyat]]
| term_start          = 1 Oktober 2014
| term_end            = 11 Juni 2018
| predecessor         = <!-- Can be repeated up to eight times by adding a number -->
| successor           = [[Gandung Pardiman]]
| parliamentarygroup  = [[Partai Golongan Karya|Fraksi Partai Golongan Karya]]
| constituency        = [[Daerah Istimewa Yogyakarta]]
| birth_name          = Siti Hediati Harijadi
| birth_date          = {{birth date and age|1959|04|14}}
| birth_place         = [[Semarang]], [[Jawa Tengah]], [[Indonesia]]
| alma_mater          = [[Universitas Indonesia]]
| occupation          = {{hlist|[[Pengusaha]]|[[politikus]]}}
<!-- | religion           = [[Islam]] -->| spouse              = {{menikah|[[Prabowo Subianto]]|1983|1998|end=div.}}
| children            = [[Didit Hediprasetyo|Ragowo Hediprasetyo Djojohadikoesoemo]] (Didit)
| party               = {{parpolicon|Gerindra}} (sejak 2023)
| otherparty          = {{Parpolicon|Golongan Karya}} (2012 - 2018)<br>{{Parpolicon|Berkarya}} (2018 - 2023)
| father              = [[Soeharto]]
| mother              = [[Siti Hartinah]]
| relatives           = [[Siti Hardijanti Rukmana]] (kakak)<br>[[Sigit Harjojudanto]] (kakak)<br>[[Bambang Trihatmodjo]] (kakak)<br>[[Hutomo Mandala Putra]] (adik)<br>[[Siti Hutami Endang Adiningsih]] (adik)
<!-- | net_worth          = Rp 592 Miliar (LHKPN 2017)<ref name=LHKPN>{{cite web|title=Titiek Suharto|url=https://drive.google.com/file/d/14Uz5Mjkjr5mOGbx2DarqSmTOhl6JiT2k/view?usp=sharing/|website=LHKPN|}}</ref> -->}}"
Yoga Sugama,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = 
|name             = Yoga Sugama
|image            = Yoga Soegomo.jpg
|imagesize        = 200px
|caption          = Jenderal (Purn) Yoga Sugama
|office           = Kepala Badan Intelijen Negara{{!}}Kepala Badan Koordinasi Intelijen Negara
|order            = Ke-4
|term_start       = Januari 1974
|term_end         = Juni 1989
|president        = [[Soeharto]]
|predecessor      = [[Sutopo Juwono]]
|successor        = Sudibyo
|office1        = Kepala Staf Komando Keamanan dan Ketertiban
|term_start1  = 1980
|term_end1   = 1989
|president1   = [[Soeharto]]
|vicepresident1 = [[Adam Malik]]<br/>[[Umar Wirahadikusumah]]<br/>[[Sudharmono]]
|1blankname1 = [[Panglima Kopkamtib]]
|1namedata1 = [[Sudomo]]<br/>[[L.B. Moerdani]]
|office2          = Daftar Duta Besar Indonesia untuk Perserikatan Bangsa-Bangsa{{!}}Duta Besar Indonesia untuk Perserikatan Bangsa-Bangsa
|order2           = 7
|term_start2      = 1971
|term_end2        = 1974
|president2       = [[Soeharto]]
|predecessor2     = [[Roeslan Abdulgani]]
|successor2       = [[Khaidir Anwar Sani]]
|office3          = Daftar Kepala Badan Intelijen Negara{{!}}Kepala Komando Intelijen Negara
|order3           = Ke-4
|term_start3      = 22 Agustus 1966
|term_end3        = 22 Mei 1967
|president3       = [[Soekarno]]<br/>[[Soeharto]]
|predecessor3     = [[Soeharto]]
|successor3       = Soedirgo
|birth_date       = {{birth date|1925|5|12}}
|birth_place      = [[Tegal]], [[Jawa Tengah]], [[Hindia Belanda]]
|death_date       = {{death date and age|2003|4|23|1925|5|12}}
|death_place      = [[Jakarta]], [[Indonesia]]
|serviceyears     = 
|servicenumber    = 14527
|branch           = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
|allegiance       = [[Indonesia]]
|rank             = [[File:22-TNI Army-GEN.svg|25px| ]] [[Jenderal]] [[TNI]]
|party            = 
|spouse           = 
|children         = 
|residence        = 
|alma_mater       = 
|occupation       = 
}}"
Front Revolusi Independen Timor Leste,infobox political party,"{{Infobox Political Party
| name = {{nowrap|Front Revolusi untuk Kemerdekaan Timor Leste}}
| native_name = {{small|''Frente Revolucionária de Timor-Leste Independente''}}
| abbreviation = Fretilin, FRETILIN
| logo = 
| logo_size = 150px
| president = [[Francisco Guterres|Francisco ""Lu Olo"" Guterres]]
| secretary_general = [[Mari Alkatiri]]
| foundation = {{start date|1974|05|20|df=y}} ([[Asosiasi Demokratik Sosial Timor|ASDT]])<br/> 11 September 1974 (Fretilin)
| headquarters = Avenida Martires da Patria, Comoro, [[Dili]], [[Timor Leste]]
| youth_wing = Organisasi Pemuda dan Pelajar Timor Leste
| wing1_title = Sayap paramiliter
| wing1 = [[FALINTIL]] (1975–2001)<br>(2001–) sebagai angkatan bersenjata Timor Timur
| ideology = [[Sosialisme demokratis]]<br>[[Demokrasi sosial]]<br>[[Nasionalisme sayap kiri]] <br> '''Sekitar 1975:'''<br> [[Marxisme-Leninisme]]
| position = [[Politik sayap kiri|Sayap-kiri]]<br>""'''Sekitar 1975:'''<br>[[Kiri jauh|Kiri-jauh]]
| international = [[Aliansi Progresif]] {{br}} [[Sosialis Internasional]] (Konsultatif)
| colours = [[Merah]], [[Hitam]], [[Kuning]]
| colorcode = Black
| seats1_title = [[Parlamento Nacional]]
| seats1 = {{Composition bar|23|65|hex=red}}
| flag = [[Berkas:Flag of FRETILIN (East Timor).svg|155px]]
| website =
| country = Timor Leste
}}"
