article_title,honorific-prefix,name,image,caption,office,order,term_start,term_end,president,predecessor,successor,office2,order2,term_start2,term_end2,president2,predecessor2,successor2,office3,order3,term_start3,term_end3,president3,predecessor3,successor3,term_start4,term_end4,president4,predecessor4,successor4,office5,order5,term_start5,term_end5,president5,predecessor5,successor5,term_start6,term_end6,president6,predecessor6,successor6,office7,order7,term_start7,term_end7,president7,1blankname7,1namedata7,predecessor7,successor7,birth_date,birth_place,death_date,death_place,nationality,party,spouse,children,profession,religion,signature,nickname,allegiance,branch,serviceyears,rank,commands,unit,battles,awards,relations,laterwork,order6,1blankname,military_blank4,termend1,termend3,order9,taoiseach,blank3,vicepresident1,net_worth,1namedata3,constituency3,governor-general,premier2,memorials,twitter,ambassador_from,constituency,other_name,successor10,1blankname2,height,1blankname6,command,chancellor,primeminister4,image_upright,data4,alt,citizenship,placeofburial_coordinates,residence,succeeding3,office4,father,term_start10,restingplacecoordinates,2,salary,office6,blank5,successor1,term_end8,succeeding,term_label5,module5,enteredservice,military_data5,birth_name,vicepresident2,term_label,4blankname7,viceprimeminister,governor_general,other_names,governor1,co-leader2,3namedata7,blank2,governor,image_size,module4,portrayedby,primeminister2,lieutenant2,website,vicepresident5,successor8,appointer,country,1blankname3,cabinet,successor9,termstart2,2blankname7,relatives,data3,native_name,module3,primeminister,term_start1,termend2,office10,1namedata1,alongside6,lieutenant8,data5,term_end10,footnotes,constituency2,Cicit,alongside5,honorific_prefix,military_blank1,1namedata6,order4,otherparty,known_for,term_start8,office1,honorific-suffix,death_cause,committees,1blankname1,term_end9,facebook,smallimage_alt,term_start9,resting_place_coordinates,alongside2,primeminister5,pronunciation,predecessor9,data1,order1,4namedata7,servicenumber,lieutenant,military_data3,resting_place,native_name_lang,module,predecessor8,military_blank3,occupation,constituency7,succeeding2,alongside3,appointed,succeeding1,placeofburial,constituency6,ethnicity,module2,military_blank5,facebookpage,smallimage,governor2,president1,vicepresident3,family,primeminister1,military_data1,mother,currentlyresides,imagesize,governor5,blank1,vicepresident,data2,military_data4,predecessor10,mawards,signature_alt,primeminister3,placeofburial_label,honorific_suffix,birthname,termstart3,1blankname5,office9,status,prior_term,1,vicepresident4,partner,military_data2,battles_label,restingplace,signature_size,3blankname7,1namedata2,termstart1,majority3,blank4,education,relation,alma_mater,parents,military_blank2,order10,2namedata7,vicepresident6,majority,predecessor1,portfolio,lieutenant3,office8,profesion,networth,1namedata5,monarch,othername,order8,deputy,1namedata,term_end1,article_title
Theo L. Sambuaga,,Theo Leo Sambuaga,Theo_sambuaga.jpg,,Daftar Menteri Perumahan Rakyat IndonesiaMenteri Negara Perumahan Rakyat dan Permukiman,ke-4,23 Mei 1998,27 September 1999,Bacharuddin Jusuf Habibie,Akbar Tanjungsebagai Menteri Negara Perumahan Rakyat dan Permukiman,Muhammad Yusuf Asy'arisebagai Menteri Negara Perumahan Rakyat (2004),Daftar Menteri Tenaga Kerja dan Transmigrasi IndonesiaMenteri Tenaga Kerja Indonesia,ke-19,14 Maret 1998,21 Mei 1998,Soeharto,Abdul Latief,Fahmi Idris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manado, Sulawesi Utara, Indonesia",,,Indonesia,,Erna Sambuaga,Eddy Khrisna Patria SambuagaJerry Adithya Ksatria Sambuaga,,Kristen Protestan,,,,,,,,,,,R. Soekardi (mertua),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theo L. Sambuaga,Bacharuddin Jusuf Habibie,,,,,,,,,,,,,,,,,,,,,,Kabinet Pembangunan VIIKabinet Reformasi Pembangunan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Theo L. Sambuaga
Mohammad Natsir,,Mohammad Natsir,Mohammad Natsir 1950s.jpg,,Perdana Menteri Indonesia,ke-5,"5 September 1950Feith, Herbert. The Decline of Constitutional Democracy in Indonesia. hal 150.","26 April 1951Feith, Herbert. The Decline of Constitutional Democracy in Indonesia. hal 168.",Soekarno,Abdoel Halim,Sukiman Wirjosandjojo,Menteri Penerangan Indonesia,ke-2,12 Maret 1946,26 Juni 1947,Soekarno,Amir Sjarifuddin,Setiadi Reksoprodjo,,,29 Januari 1948,4 Agustus 1949,Soekarno,Sjahbudin Latif,Syafruddin Prawiranegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alahan Panjang, Lembah Gumanti, Solok, Sumatera Barat, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,(Masyumi),,6,Politikus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad Natsir
Filomeno Hornay,,,,,Ketua Dewan Konsultatif UNTAS,,16 Juli 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fohorem, Cova Lima, Timor Portugis",,,,,Maria I. Alice Assis,,Pensiunan PNS,Katolik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filomeno de Jesus Hornay,,,,,,,,,,,,,,,,,,,,"Lincoln University, New Zealand",,,,,,,,,,,,,,,,,,,,Filomeno Hornay
Mohammad Sadli,,,M_sadli.jpg,,Menteri Pertambangan Indonesia,ke-6,28 Maret 1973,28 Maret 1978,Soeharto,Sumantri Brodjonegoro,Soebroto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumedang, Jawa Barat, Hindia Belanda",,"Jakarta, Indonesia",Indonesia,,Prof. Dr. Saparinah Sadli,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soebroto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 September 1971,,,,,,,,,,,,,,,,,,,Menteri Tenaga Kerja Indonesia,,,,,,,,,,,,,,,ke-13,,,,,,,,,,Ekonom,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mursalin Daeng Mamangung,,,,,,,,,,,,28 Maret 1973,Mohammad Sadli
Setya Novanto,,Setya Novanto,"Setya Novanto, Ketua DPR RI.jpg",,Ketua Dewan Perwakilan Rakyat,ke-16,30 November 2016,11 Desember 2017,Joko Widodo,Ade Komarudin,Fadli Zon (Pelaksana Tugas)Bambang Soesatyo,Ketua Umum Partai Golongan Karya,ke-10,17 Mei 2016,13 Desember 2017,,Aburizal Bakrie,Airlangga Hartarto,Anggota Dewan Perwakilan Rakyat Republik Indonesia,,1 Oktober 1999,11 Desember 2017,,,Imanuel Ekadianus Blegur,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bandung, Jawa Barat, Indonesia",,,,Partai Golongan Karya,"Luciana Lily Herliyanti  Deisti Astriani Tagor, S.H.",Pernikahan dengan Luciana Lily Herliyanti: 2Pernikahan dengan Deisti Astriani Tagor: 2,,,,,,,,,,,,,,,,,,,,,,,,,,"Timor TimurAnggota DPR-RI 1999-2004, diakses 29 Desember 2021.(1999—2004)https://id.quora.com/Timor-Timur-lepas-dari-Indonesia-pada-Oktober-1999-Apakah-ini-memengaruhi-posisi-anggota-DPR-periode-1999-2004-yang-berasal-dari-daerah-pemilihan-Timor-Timur?ch=10&oid=32927070&share=06f96207&srid=ewB6U&target_type=questionNusa Tenggara Timur II(2004—2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ade Komarudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Oktober 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fadli ZonAgus HermantoTaufik KurniawanFahri Hamzah,,,,,,,Politisi,,,,,,,,,,,,,,Susilo Bambang Yudhoyono  Joko Widodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Katolik Widya Mandala SurabayaUniversitas Trisakti,,,,,,,Marzuki Alie,,,,,,,,,,,,16 Desember 2015,Setya Novanto
Syarwan Hamid,,,"Syarwan Hamid, The DPR-RI Stance on the Reform Process and the Resignation of President Soeharto, p39.jpg",,Menteri Dalam Negeri Indonesia,ke–22,23 Mei 1998,27 September 1999,B. J. Habibie,R. Hartono,Soerjadi Soedirdja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dusun Pusaka, Siak, Masa pendudukan Jepang",,"Cimahi, Jawa Barat, Indonesia",,Golkar  Perindo (2015),"Hj. Endang Agustini, S.I.P.",,Tentara  Politikus,,,,,25px TNI Angkatan Darat,1966–1996,25px Letnan Jenderal TNI,,Infanteri,Pemberontakan di Aceh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Militer (1966),,,,,,,,,,,,,,,,,,,,Syarwan Hamid
Osa Maliki Wangsadinata,,Osa Maliki Wangsadinata,"Osa Maliki, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p75.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Padalarang, Bandung Barat",,"Semarang, Jawa Tengah",Indonesia,20px Partai Nasional Indonesia,,,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anggota  Dewan Perwakilan Rakyat Republik Indonesia  Ketua Partai Nasional Indonesia Osa-Usep  Digulis,,,,,,,,,,,,,,,,,,,,,,"TMP Cikutra, Bandung, Jawa Barat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osa Maliki Wangsadinata
M. Jusuf,,,Jenderal TNI M Jusuf.png,,Daftar Menteri Pertahanan IndonesiaMenteri Pertahanan Keamanan Indonesia,ke-15,29 Maret 1978,19 Maret 1983,Soeharto,Maraden Panggabean,Poniman,Menteri Perindustrian Indonesia,ke-9,6 Juni 1968,28 Maret 1978,Soeharto,Ashari DanudirdjoMuhammad Sanusi,A.R. Soehoed,Menteri Perdagangan Indonesia,ke-19,11 Oktober 1967,6 Juni 1968,Soekarno,Ashari Danudirdjo,Sumitro Djojohadikusumo,21 Februari 1966,25 Juli 1966,Soekarno,Hadi Thayeb,Suharnoko Harbani,Menteri Perindustrian Ringan Indonesia,,27 Agustus 1964,21 Februari 1966,Soekarno,Tidak ada,Suharnoko Harbani,25 Juli 1966,17 Oktober 1967,Soekarno,Suharnoko Harbani,Ashari Danudirdjo,Panglima Angkatan Bersenjata Republik Indonesia,ke-7,29 Maret 1978,19 Maret 1983,Soeharto,,,Maraden Panggabean,Leonardus Benyamin Moerdani,,"Kajuara, Bone, Celebes, Hindia Belanda",,"Makassar, Sulawesi Selatan, Indonesia",,Independen,Elly Saelan,1,"Tentara, Politikus, Dokter",,,,,25px TNI Angkatan Darat,1945–1983,25px Jenderal TNI,,Infanteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Perindustrian Dasar Indonesia,,,,,,,,,,,,,,,Andi Muhammad Jusuf Amir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. Jusuf
Soegiarto (militer),,Soegiarto,"Wali_Kota_Jogja,_Soegiarto.jpg",Soegiarto saat menjabat Wali kota Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25px TNI Angkatan Darat,,25px Mayor Jenderal TNI,,Infanteri (Kopassandha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Djatmikanto Danumartono,,,,,,,,,,,,,,Hamengkubuwana IX,,,,,,,,,,,,,,,,,,,,,,,,,1981,,,,,,,,,,,,,,,,,,,Wali Kota Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Ahmad,,,,,,,,,,,,1986,Soegiarto (militer)
Dorodjatun Kuntjoro-Jakti,Prof. (Em) Drs.,,"Dorodjatun Kuntjoro-Jakti, Duta Besar RI untuk Amerika Serikat (cropped).jpg",,Menteri Koordinator Bidang Perekonomian Republik Indonesia,ke-10,10 Agustus 2001,20 Oktober 2004,Megawati Soekarnoputri,Burhanuddin Abdullah,Aburizal Bakrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rangkasbitung, Banten, Hindia Belanda",,,Indonesia,Non partisipan,Emiwaty (istri),,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MA, Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,Ekonom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menteri Koordinator Bidang Perekonomian,,,,,,,,,,,,,,"Universitas Indonesia  Universitas California, Berkeley",,,,,,,,,,,,,,,,,,,,Dorodjatun Kuntjoro-Jakti
Mohammad Nazir,Laksamana Muda TNI (Purn.),,"Commodore M Nazir, Jalesveva Jayamahe, p215.jpg",,Kepala Staf TNI Angkatan LautPanglima Angkatan Laut RI,ke-2,6 Februari 1946,8 Mei 1948,Soekarno,Mas Pardi,R. Soebijakto,Menteri Perhubungan IndonesiaMenteri Perhubungan Laut Indonesia,ke-11,9 April 1957,10 Juli 1959,Soekarno,Sjuchjar Tedjasukmana,DjatikusumoAbdoelmoettalip DanoeningratR. Iskandar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maninjau, Agam, Hindia Belanda",,Jakarta,Indonesia,,,,Tentara,Islam,,,,28px TNI Angkatan Laut,1938 - 1965,25px Laksamana Muda TNI,,Korps Pelaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sukardan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammad Nazir
Abdul Latief (pengusaha),,Abdul Latief,Sixth Development Cabinet Poster (Abdul Latief).jpg,,"Menteri Pariwisata, Seni, dan Budaya Indonesia",ke-5,16 Maret 1998,21 Mei 1998,Soeharto,Joop Ave,Marzuki Usman,Menteri Tenaga Kerja dan Transmigrasi Indonesia,ke-18,17 Maret 1993,14 Maret 1998,Soeharto,Cosmas Batubara,Theo L. Sambuaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banda Aceh, Aceh, Hindia Belanda",,,Indonesia,,Nursyamsiah  Donna Louisa Maria,Medina Latief Harjani  Dipo Latief,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pengusaha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akademi Pimpinan Perusahaan JakartaUniversitas Krisnadwipayana,,,,,,,,,,,,,,,,,,,,Abdul Latief (pengusaha)
Daoed Joesoef,,,Daoed Joesoef portrait.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medan, Hindia Belanda",,"Jakarta, Indonesia",,,Sri Sulastri,Sri Sulaksmi Damayanti,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nugroho Notosusanto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 Maret 1978,,,,,,,,,,,,,,,,,,,Menteri Pendidikan dan Kebudayaan Indonesia,,,,,,,,,,,,,,,Ke-17,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syarief Thayeb,,,,,,,,,,,,19 Maret 1983,Daoed Joesoef
Tommy Soeharto,,Tommy Soeharto,Tommy Suharto Central Aceh.png,,Ketua Umum Partai Berkarya ke-2,,11 Maret 2018,12 Juli 2020,,Neneng A. Tuty,Muchdi Purwoprandjono,Anggota MPR RI Fraksi Golkar,,1 Oktober 1992,21 Mei 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jakarta, Indonesia",,,Indonesia,Partai Swara Rakyat Indonesia (2022–sekarang),,,,,,,,,,,,,,,,,,,,,,,,,,US$670 juta (2019),,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,,,,,,,,Hutomo Mandala Putra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLBI,,,,,,,,,,,,,,,,,,,,,,,,,,,Politisi,,,,,,,,,,,,,,,,,,,Siti Hartinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tommy Soeharto
Mashuri Saleh,,Mashuri Saleh,"Aankomst Minister Mashuri (kop) van O.V. en W. in Indonesie op Schiphol, Bestanddeelnr 921-7871.jpg",Mashuri Saleh (1968),Wakil Ketua Majelis Permusyawaratan Rakyat Republik IndonesiaUtusan Golongan,,1 Oktober 1977,1 Oktober 1982,Soeharto,Sumiskum,Amir Murtono,Menteri Pendidikan dan Kebudayaan Indonesia,ke-14,6 Juni 1968,28 Maret 1973,Soeharto,Sanusi Hardjadinata,Sumantri Brodjonegoro,Menteri Perguruan Tinggi dan Ilmu Pengetahuan Indonesia,ke-5,27 Maret 1966,25 Juli 1966,Soekarno,Syarief Thayeb (ad-interim),Tidak Ada; Jabatan dihapuskan,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juwana, Pati, Jawa Tengah,Hindia Belanda",,"Surakarta, Jawa Tengah,Indonesia",,,,,,Islam,,,,,,,,,,,Maskanan (saudara kandung),,,Ketua MPR/DPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soedharmono (ad-interim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28 Maret 1973,,,,,,,,,,,,,,,,,,,Menteri Penerangan Indonesia,,,,,,,,,,,,,,,ke-20,,,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boediarjo,,,,,,,,,,,Adam Malik (1977–78) Daryatmo (1978–82),1 Oktober 1977,Mashuri Saleh
Fuad Bawazier,Dr.,,Fuad Bawazier.jpg,,Menteri Keuangan Indonesia,ke-19,16 Maret 1998,21 Mei 1998,Soeharto,Mar'ie Muhammad,Bambang Subianto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tegal, Jawa Tengah, Indonesia",,,,Golkar (–1998) PAN (1998–2006) Hanura (2006–14) Partai Gerindra (2015–),Soerjati,Muhammad Haikal BawazierNora BawazierMohammad Yamin,,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Politisi,,,,,,,,,,,,,,,,,,,,,,,,Bacharuddin Jusuf Habibie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SMA Negeri 1 Cilacap Universitas Gadjah MadaWilliam CollegeUniversity of Maryland,,,,,,,,,,,,,,,,,,,,Fuad Bawazier
Frans Seda,,,Indonesia Ambassador to Belgium Frans Seda.jpg,,Menteri Perhubungan Indonesia,ke-25,6 Juni 1968,28 Maret 1973,Soeharto,Salimin Prawiro Sumarto,Basuki Rachmat,Menteri Keuangan Indonesia,ke-14,25 Juli 1966,6 Juni 1968,Soekarno,Sumarno,Ali Wardhana,Menteri Pertanian Indonesia,ke-14,24 Februari 1966,25 Juli 1966,Soekarno,Sukarno,Sutjipto,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maumere, Nusa Tenggara Timur, Hindia Belanda",,"Jakarta, Indonesia",,Partai Katolik PDIPDI-P,Johanna Maria Pattinaja,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jl. Metro Kencana V Nomor 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hollandsche BurgerschoolKatolieke Economische Hogeschool,,,,,,,,,,,,,,,,,,,,Frans Seda
Ali Sadikin,,Ali Sadikin,Ali_Sadikin_(1975).jpg,Ali Sadikin pada tahun 1975,,,,,,,,Menteri Perhubungan IndonesiaMenteri Perhubungan Laut Indonesia,ke-16,13 November 1963,28 Maret 1966,Soekarno,Abdoelmoettalip Danoeningrat,Susatyo Mardi,Gubernur Daerah Khusus Ibukota Jakarta,ke-7,28 April 1966,Juli 1977,,Dr. Soemarno,Tjokropranolo,1977,1981,,Moehono,Sjarnoebi Said,,,,,,,,,,,,,,,,,,,,,,,"Sumedang, Jawa Barat, Hindia Belanda",,Singapura,,,,5,Tentara,,Signature of Ali Sadikin.svg,,,25px TNI Angkatan Laut,1945—1966,25px Letnan Jenderal TNI,,KKO,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ketua Umum Persatuan Sepak Bola Seluruh Indonesia ke-8,Raden Sadikin,,,,,,,Jatidjan,,,,,,,Ali Sadikin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27 Agustus 1964,,,,,,,,,,,,,,,,,,,Daftar Menteri Koordinator Bidang Kemaritiman IndonesiaMenteri Koordinator Kompartemen Kemaritiman Indonesia,,,,,,,,,,,,,,,ke-1,,,,,,,,,,,,,,,,,,,,,,,,Soekarno,,,,,Itjih Karnasih,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak Ada,,,,,,,,,,,,28 Maret 1966,Ali Sadikin
Siti Hardijanti Rukmana,,Siti Hardijanti Rukmana,"Tutut Soeharto, Antara TV, 00.35.jpg",,,,,,,,,Menteri Sosial Indonesia ke-23,,14 Maret 1998,21 Mei 1998,Soeharto,Endang Kusuma Inten Soeweno,Justika Baharsjah,Ketua Umum Palang Merah Indonesia,ke-10,1992,1998,,Ibnu Sutowo,Mar'ie Muhammad,1 Oktober 1992,14 Maret 1998,,,,Direktur Utama TPI ke-1,,23 Januari 1991,23 Januari 1998,,jabatan baru,Tito Sulistio,,,,,,,,,,,,,,,,"Yogyakarta, Indonesia",,,Indonesia,(sampai 1998) (2002–14) (sejak 2018),Indra Rukmana (m. 1972),3,,,,Mbak Tutut,,,,,,,,Bintang Mahaputera Pratama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anggota MPR RI Fraksi Golkar,,,,,,,,,,,,,,,Siti Hardijanti Hastuti,,,,,,,,,,,,,,,,,,,,,,,,,,,Sigit Harjojudanto (adik)Bambang Trihatmodjo (adik)Siti Hediati Hariyadi (adik)Hutomo Mandala Putra (adik)Siti Hutami Endang Adiningsih (adik),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soeharto (bapak)Siti Hartinah (ibu),,,,,,,,,,,,,,,,,,,Siti Hardijanti Rukmana
Soegih Arto,Letjen TNI (Purn.),,sugiharto.jpg,,,,1966,1973,,Agustinus Sutardhio,Ali Said,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yogyakarta, Hindia Belanda",,"Jakarta, Indonesia",,,,,"Jaksa, TNI",Islam,,,,25px TNI Angkatan Darat,1945 - 1979,25px Letnan Jenderal TNI,,Infanteri,Revolusi Nasional Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taman Makam Pahlawan Nasional Utama Kalibata, Jakarta Selatan, DKI Jakarta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hogere Kriegjschool (1952),,,,,,,,,,,,,,,,,,,,Soegih Arto
Yoga Sugama,,Yoga Sugama,Yoga Soegomo.jpg,Jenderal (Purn) Yoga Sugama,Kepala Badan Intelijen NegaraKepala Badan Koordinasi Intelijen Negara,Ke-4,Januari 1974,Juni 1989,Soeharto,Sutopo Juwono,Sudibyo,Daftar Duta Besar Indonesia untuk Perserikatan Bangsa-BangsaDuta Besar Indonesia untuk Perserikatan Bangsa-Bangsa,7,1971,1974,Soeharto,Roeslan Abdulgani,Khaidir Anwar Sani,Daftar Kepala Badan Intelijen NegaraKepala Komando Intelijen Negara,Ke-4,22 Agustus 1966,22 Mei 1967,SoekarnoSoeharto,Soeharto,Soedirgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tegal, Jawa Tengah, Hindia Belanda",,"Jakarta, Indonesia",,,,,,,,,Indonesia,25px TNI Angkatan Darat,,25px|  Jenderal TNI,,,,,,,,,,,,,,,Adam MalikUmar WirahadikusumahSudharmono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,SudomoL.B. Moerdani,,,,,,,,,,,,,,,,Kepala Staf Komando Keamanan dan Ketertiban,,,,Panglima Kopkamtib,,,,,,,,,,,,,14527,,,,,,,,,,,,,,,,,,,,,,Soeharto,,,,,,,200px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989,Yoga Sugama
